scenario_id,customer_id,scenario_type,notes
SC0001,CUST0001,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0002,CUST0002,severely_overdue,"Outstanding=4839,MaxDaysOv=448,Partial=2,Overdue=0"
SC0003,CUST0003,large_amount_low_prob,"Outstanding=47416,MaxDaysOv=73,Partial=1,Overdue=1"
SC0004,CUST0004,severely_overdue,"Outstanding=1354,MaxDaysOv=547,Partial=1,Overdue=0"
SC0005,CUST0005,severely_overdue,"Outstanding=66799,MaxDaysOv=541,Partial=11,Overdue=1"
SC0006,CUST0006,severely_overdue,"Outstanding=3031,MaxDaysOv=525,Partial=2,Overdue=0"
SC0007,CUST0007,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0008,CUST0008,severely_overdue,"Outstanding=7648,MaxDaysOv=456,Partial=3,Overdue=0"
SC0009,CUST0009,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0010,CUST0010,severely_overdue,"Outstanding=23834,MaxDaysOv=660,Partial=3,Overdue=0"
SC0011,CUST0011,severely_overdue,"Outstanding=14637,MaxDaysOv=649,Partial=2,Overdue=0"
SC0012,CUST0012,severely_overdue,"Outstanding=13726,MaxDaysOv=648,Partial=4,Overdue=0"
SC0013,CUST0013,recent_invoice,"Outstanding=14803,MaxDaysOv=120,Partial=1,Overdue=0"
SC0014,CUST0014,severely_overdue,"Outstanding=836,MaxDaysOv=430,Partial=1,Overdue=0"
SC0015,CUST0016,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0016,CUST0017,severely_overdue,"Outstanding=36693,MaxDaysOv=627,Partial=8,Overdue=0"
SC0017,CUST0018,severely_overdue,"Outstanding=3888,MaxDaysOv=483,Partial=1,Overdue=0"
SC0018,CUST0019,severely_overdue,"Outstanding=7421,MaxDaysOv=626,Partial=3,Overdue=0"
SC0019,CUST0020,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0020,CUST0021,severely_overdue,"Outstanding=27080,MaxDaysOv=690,Partial=6,Overdue=0"
SC0021,CUST0022,severely_overdue,"Outstanding=2585,MaxDaysOv=408,Partial=1,Overdue=0"
SC0022,CUST0023,severely_overdue,"Outstanding=20738,MaxDaysOv=527,Partial=4,Overdue=0"
SC0023,CUST0024,severely_overdue,"Outstanding=10555,MaxDaysOv=287,Partial=2,Overdue=0"
SC0024,CUST0025,severely_overdue,"Outstanding=6036,MaxDaysOv=396,Partial=1,Overdue=0"
SC0025,CUST0026,severely_overdue,"Outstanding=8623,MaxDaysOv=667,Partial=1,Overdue=0"
SC0026,CUST0027,severely_overdue,"Outstanding=488,MaxDaysOv=663,Partial=1,Overdue=0"
SC0027,CUST0029,severely_overdue,"Outstanding=23667,MaxDaysOv=215,Partial=1,Overdue=0"
SC0028,CUST0030,severely_overdue,"Outstanding=3182,MaxDaysOv=679,Partial=0,Overdue=1"
SC0029,CUST0031,severely_overdue,"Outstanding=20678,MaxDaysOv=568,Partial=3,Overdue=1"
SC0030,CUST0032,severely_overdue,"Outstanding=11445,MaxDaysOv=190,Partial=1,Overdue=0"
SC0031,CUST0033,severely_overdue,"Outstanding=18204,MaxDaysOv=469,Partial=4,Overdue=0"
SC0032,CUST0034,severely_overdue,"Outstanding=6729,MaxDaysOv=557,Partial=2,Overdue=0"
SC0033,CUST0035,severely_overdue,"Outstanding=19376,MaxDaysOv=585,Partial=4,Overdue=1"
SC0034,CUST0036,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0035,CUST0037,recent_invoice,"Outstanding=315,MaxDaysOv=54,Partial=1,Overdue=0"
SC0036,CUST0038,severely_overdue,"Outstanding=14815,MaxDaysOv=373,Partial=2,Overdue=0"
SC0037,CUST0039,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0038,CUST0040,severely_overdue,"Outstanding=14510,MaxDaysOv=246,Partial=2,Overdue=0"
SC0039,CUST0041,severely_overdue,"Outstanding=9680,MaxDaysOv=658,Partial=3,Overdue=0"
SC0040,CUST0042,severely_overdue,"Outstanding=1438,MaxDaysOv=202,Partial=1,Overdue=0"
SC0041,CUST0043,severely_overdue,"Outstanding=23178,MaxDaysOv=683,Partial=2,Overdue=0"
SC0042,CUST0044,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0043,CUST0045,severely_overdue,"Outstanding=13286,MaxDaysOv=527,Partial=2,Overdue=0"
SC0044,CUST0046,severely_overdue,"Outstanding=7233,MaxDaysOv=232,Partial=1,Overdue=0"
SC0045,CUST0047,severely_overdue,"Outstanding=14727,MaxDaysOv=493,Partial=2,Overdue=0"
SC0046,CUST0048,severely_overdue,"Outstanding=12677,MaxDaysOv=602,Partial=1,Overdue=0"
SC0047,CUST0049,severely_overdue,"Outstanding=45303,MaxDaysOv=633,Partial=3,Overdue=2"
SC0048,CUST0050,severely_overdue,"Outstanding=3337,MaxDaysOv=541,Partial=1,Overdue=0"
SC0049,CUST0051,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0050,CUST0052,severely_overdue,"Outstanding=338,MaxDaysOv=340,Partial=1,Overdue=0"
SC0051,CUST0053,small_low_risk,"Outstanding=0,MaxDaysOv=0,Partial=0,Overdue=0"
SC0052,CUST0054,severely_overdue,"Outstanding=34248,MaxDaysOv=696,Partial=8,Overdue=1"
SC0053,CUST0055,severely_overdue,"Outstanding=10117,MaxDaysOv=621,Partial=3,Overdue=0"
SC0054,CUST0056,severely_overdue,"Outstanding=24249,MaxDaysOv=651,Partial=4,Overdue=0"
SC0055,CUST0057,severely_overdue,"Outstanding=18018,MaxDaysOv=259,Partial=3,Overdue=0"
SC0056,CUST0058,recent_invoice,"Outstanding=5245,MaxDaysOv=0,Partial=0,Overdue=0"
SC0057,CUST0059,severely_overdue,"Outstanding=9895,MaxDaysOv=697,Partial=4,Overdue=0"
SC0058,CUST0060,severely_overdue,"Outstanding=3930,MaxDaysOv=696,Partial=2,Overdue=1"
SC0059,CUST0061,severely_overdue,"Outstanding=27316,MaxDaysOv=560,Partial=3,Overdue=0"
SC0060,CUST0062,severely_overdue,"Outstanding=45560,MaxDaysOv=697,Partial=5,Overdue=1"
SC0061,CUST0063,severely_overdue,"Outstanding=1106,MaxDaysOv=356,Partial=0,Overdue=1"
SC0062,CUST0065,severely_overdue,"Outstanding=2689,MaxDaysOv=396,Partial=1,Overdue=0"
