customer_id,customer_name,area,pincode,customer_type,credit_limit,outstanding_amount,last_order_date,last_payment_date,total_business_ytd
CUST001,Ramesh General Store,Tonk,304001,Sub-Wholesaler,100000,76806.48,2024-12-26,2024-08-09,1082884.45
CUST002,Sharma Kirana,Malpura,304502,Sub-Wholesaler,100000,49036.1,2024-12-01,2024-12-18,894360.72
CUST003,Bajaj Traders,Niwai,304021,Sub-Wholesaler,200000,64274.96,2024-12-30,2024-12-21,752818.67
CUST004,Meena Provisions,Uniara,304025,Sub-Wholesaler,75000,7937.26,2024-12-18,2024-12-06,468674.66
CUST005,Suresh Wholesale,Tonk,304001,Retailer,100000,23515.34,2024-12-22,2024-12-21,1173731.54
CUST006,Patel Store,Sawai Madhopur,322001,Retailer,75000,29296.24,2024-12-23,2024-12-22,785460.79
CUST007,Ram Lal & Sons,Sawai Madhopur,322001,Sub-Wholesaler,50000,15533.39,2024-12-04,2024-12-25,255054.21
CUST008,Bharat Enterprises,Niwai,304021,Retailer,150000,142459.87,2024-12-20,2024-07-30,1795451.29
CUST009,Gupta Distributors,Niwai,304021,Sub-Wholesaler,200000,77779.19,2024-12-08,2024-12-19,825791.11
CUST010,Verma Trading Co.,Uniara,304025,Sub-Wholesaler,25000,5080.1,2023-04-20,2023-05-18,361406.17
CUST011,Agarwal Provisions,Sawai Madhopur,322001,Retailer,50000,2547.53,2024-12-28,2024-12-11,602112.58
CUST012,Yadav General Stores,Todaraisingh,304505,Sub-Wholesaler,150000,26040.28,2024-12-05,2024-12-24,1135337.13
CUST013,Vijay Kirana,Uniara,304025,Retailer,200000,84957.56,2024-12-20,2024-12-26,2538060.39
CUST014,Narayan & Brothers,Deoli,304804,Sub-Wholesaler,75000,26524.07,2024-12-10,2024-11-27,574599.97
CUST015,Laxmi Stores,Niwai,304021,Sub-Wholesaler,150000,122668.09,2024-12-11,2024-07-30,1725501.12
CUST016,Rajesh Trading,Tonk,304001,Sub-Wholesaler,50000,6973.21,2024-12-04,2024-12-21,393021.3
CUST017,Sanjay Provisions,Niwai,304021,Retailer,200000,2870.0,2024-12-18,2024-12-05,2612477.37
CUST018,Mahesh Kirana Center,Deoli,304804,Sub-Wholesaler,75000,12762.71,2024-12-05,2024-12-10,1008311.98
CUST019,Dev Store,Deoli,304804,Retailer,150000,18101.7,2024-12-24,2024-12-21,1092534.84
CUST020,Krishna Traders,Malpura,304502,Retailer,200000,47575.97,2023-06-05,2023-06-29,641938.71
CUST021,Shiv Shakti Store,Tonk,304001,Sub-Wholesaler,50000,11831.51,2024-12-21,2024-12-03,445099.26
CUST022,Hari Om Traders,Sawai Madhopur,322001,Sub-Wholesaler,150000,142714.12,2024-12-16,2024-08-13,828287.03
CUST023,Ashok General,Tonk,304001,Retailer,200000,11955.47,2024-12-24,2024-12-06,1793246.31
CUST024,Deepak Provisions,Uniara,304025,Sub-Wholesaler,200000,72458.5,2024-12-15,2024-12-09,2939178.26
CUST025,Sonu Store,Sawai Madhopur,322001,Retailer,50000,9022.03,2024-12-21,2024-12-12,296473.93
CUST026,Mukesh Kirana,Tonk,304001,Sub-Wholesaler,25000,8717.72,2024-12-13,2024-12-08,91040.84
CUST027,Manoj Traders,Uniara,304025,Retailer,25000,5867.46,2024-12-12,2024-12-08,193152.36
CUST028,Ravi Wholesale,Sawai Madhopur,322001,Sub-Wholesaler,75000,4278.27,2024-12-03,2024-11-26,213709.85
CUST029,Santosh Store,Uniara,304025,Sub-Wholesaler,200000,134919.76,2024-12-25,2024-09-08,1863382.95
CUST030,Dilip Provisions,Uniara,304025,Retailer,50000,11466.65,2023-03-02,2023-03-29,494106.47
CUST031,Hemant Traders,Malpura,304502,Sub-Wholesaler,100000,14867.66,2024-12-16,2024-11-28,965082.68
CUST032,Ganesh Store,Tonk,304001,Retailer,150000,71069.27,2024-12-29,2024-12-20,705186.42
CUST033,Nandlal Kirana,Tonk,304001,Retailer,25000,2172.67,2024-12-25,2024-12-11,74396.08
CUST034,Gopal Traders,Tonk,304001,Sub-Wholesaler,200000,29125.93,2024-12-11,2024-11-26,1001838.21
CUST035,Mohan Store,Malpura,304502,Retailer,100000,46195.55,2024-12-28,2024-12-12,1224176.43
CUST036,Radhe Shyam Provisions,Deoli,304804,Retailer,150000,101174.21,2024-12-19,2024-07-07,817983.32
CUST037,Rajendra General,Uniara,304025,Sub-Wholesaler,50000,14876.1,2024-12-05,2024-12-07,635756.2
CUST038,Kiran Store,Deoli,304804,Sub-Wholesaler,100000,34986.68,2024-12-08,2024-12-07,1425479.11
CUST039,Arvind Traders,Deoli,304804,Retailer,150000,55090.04,2024-12-29,2024-11-29,1477241.6
CUST040,Pramod Kirana,Uniara,304025,Sub-Wholesaler,200000,57047.18,2023-06-27,2023-07-25,2998888.28
CUST041,Umesh Store,Niwai,304021,Retailer,50000,16287.74,2024-12-15,2024-11-23,695447.31
CUST042,Naresh Provisions,Sawai Madhopur,322001,Sub-Wholesaler,100000,48452.76,2024-12-10,2024-11-25,811013.51
CUST043,Satish Traders,Tonk,304001,Sub-Wholesaler,200000,152980.37,2024-12-23,2024-09-07,2203551.55
CUST044,Vinod Store,Niwai,304021,Sub-Wholesaler,100000,1834.86,2024-12-04,2024-11-21,314477.73
CUST045,Rakesh General,Tonk,304001,Sub-Wholesaler,100000,41246.36,2024-12-03,2024-11-24,201496.39
CUST046,Sunil Kirana,Tonk,304001,Sub-Wholesaler,50000,15565.85,2024-12-14,2024-12-03,424020.52
CUST047,Anil Provisions,Malpura,304502,Sub-Wholesaler,50000,3275.33,2024-12-22,2024-11-21,287218.94
CUST048,Mukund Traders,Uniara,304025,Retailer,200000,70978.28,2024-12-11,2024-12-11,1207950.36
CUST049,Girish Store,Deoli,304804,Retailer,25000,5768.1,2024-12-23,2024-12-19,88176.5
CUST050,Lalit Kirana Center,Deoli,304804,Sub-Wholesaler,200000,42324.7,2023-04-15,2023-05-11,1480274.89
CUST051,Bhavesh Store,Sawai Madhopur,322001,Retailer,50000,3616.05,2024-12-16,2024-11-21,223896.74
CUST052,Hitesh Provisions,Todaraisingh,304505,Sub-Wholesaler,75000,12745.32,2024-12-06,2024-11-30,918024.47
CUST053,Nilesh Traders,Todaraisingh,304505,Sub-Wholesaler,75000,31405.35,2024-12-07,2024-12-07,715425.3
CUST054,Kalpesh General,Todaraisingh,304505,Sub-Wholesaler,100000,17256.2,2024-12-13,2024-11-26,917492.64
CUST055,Jignesh Store,Deoli,304804,Sub-Wholesaler,75000,36779.05,2024-12-03,2024-12-14,382835.41
CUST056,Chintan Kirana,Tonk,304001,Sub-Wholesaler,100000,37235.26,2024-12-29,2024-12-06,1116796.25
CUST057,Dhruv Provisions,Tonk,304001,Sub-Wholesaler,200000,216482.44,2024-12-22,2024-07-26,728240.3
CUST058,Parth Traders,Todaraisingh,304505,Retailer,100000,45522.08,2024-12-27,2024-11-23,219951.88
CUST059,Vivek Store,Tonk,304001,Sub-Wholesaler,200000,46949.06,2024-12-26,2024-12-22,2919929.44
CUST060,Yash General Stores,Niwai,304021,Sub-Wholesaler,100000,25570.24,2023-02-20,2023-03-12,1317144.84
CUST061,Ankit Kirana,Sawai Madhopur,322001,Retailer,200000,87238.3,2024-12-08,2024-11-25,493337.66
