invoice_no,date,customer_name,customer_area,product_name,category,company,size_variant,quantity,purchase_price,sale_price,discount_pct,salesperson,payment_status,payment_due_date
INV-01000,2026-01-12,Sharma General Store,Mansarovar,Dettol Soap,Personal Care,Reckitt,125g,42,31.0,44.16,8.0,Ramesh Kumar,PAID,2026-02-11
INV-01000,2026-01-12,Sharma General Store,Mansarovar,Vim Dishwash Bar,Home Care,HUL,300g,10,18.0,26.18,6.5,Vijay Singh,PAID,2026-02-11
INV-01000,2026-01-12,Sharma General Store,Mansarovar,Cornetto Ice Cream,Dairy,HUL,65ml,43,31.0,37.92,5.2,Ramesh Kumar,PAID,2026-02-11
INV-01000,2026-01-12,Sharma General Store,Mansarovar,Surf Excel,Home Care,HUL,1kg,50,91.0,126.7,9.5,Vijay Singh,PAID,2026-02-11
INV-01001,2026-01-12,Patel Stores,Tonk Road,Dabur Honey,FMCG,Dabur,500g,26,176.0,212.17,5.7,Suresh Sharma,OVERDUE,2026-02-11
INV-01001,2026-01-12,Patel Stores,Tonk Road,Clinic Plus Shampoo,Personal Care,HUL,175ml,11,51.0,72.15,7.5,Suresh Sharma,OVERDUE,2026-02-11
INV-01001,2026-01-12,Patel Stores,Tonk Road,Vim Dishwash Bar,Home Care,HUL,300g,43,18.0,26.07,6.9,Ramesh Kumar,OVERDUE,2026-02-11
INV-01001,2026-01-12,Patel Stores,Tonk Road,Kurkure Masala,Snacks,PepsiCo,90g,51,19.0,24.79,8.2,Ramesh Kumar,OVERDUE,2026-02-11
INV-01001,2026-01-12,Patel Stores,Tonk Road,Knorr Soup,Snacks,HUL,44g,29,34.0,45.31,5.6,Suresh Sharma,OVERDUE,2026-02-11
INV-01002,2026-01-13,Jain Provisions,C-Scheme,Knorr Soup,Snacks,HUL,44g,60,34.0,45.26,5.7,Suresh Sharma,PAID,2026-02-12
INV-01002,2026-01-13,Jain Provisions,C-Scheme,Lifebuoy Soap,Personal Care,HUL,100g,34,18.0,25.37,9.4,Suresh Sharma,PAID,2026-02-12
INV-01002,2026-01-13,Jain Provisions,C-Scheme,Colgate MaxFresh,Personal Care,Colgate,200g,15,62.0,87.78,7.6,Ramesh Kumar,PAID,2026-02-12
INV-01003,2026-01-13,Patel Stores,Tonk Road,Lays Classic,Snacks,PepsiCo,26g,22,9.0,11.45,11.9,Vijay Singh,OVERDUE,2026-02-12
INV-01003,2026-01-13,Patel Stores,Tonk Road,Yippee Noodles,Snacks,ITC,70g,49,12.0,15.49,8.9,Vijay Singh,OVERDUE,2026-02-12
INV-01003,2026-01-13,Patel Stores,Tonk Road,Cornetto Ice Cream,Dairy,HUL,65ml,25,31.0,35.64,10.9,Ramesh Kumar,OVERDUE,2026-02-12
INV-01003,2026-01-13,Patel Stores,Tonk Road,Dettol Soap,Personal Care,Reckitt,125g,19,31.0,42.82,10.8,Suresh Sharma,OVERDUE,2026-02-12
INV-01003,2026-01-13,Patel Stores,Tonk Road,Kissan Jam,FMCG,HUL,500g,30,94.0,111.72,6.9,Ramesh Kumar,OVERDUE,2026-02-12
INV-01003,2026-01-13,Patel Stores,Tonk Road,7UP PET Bottle,Beverages,PepsiCo,750ml,41,28.0,35.56,11.1,Suresh Sharma,OVERDUE,2026-02-12
INV-01003,2026-01-13,Patel Stores,Tonk Road,Real Fruit Juice,Beverages,Dabur,1L,18,66.0,85.88,9.6,Suresh Sharma,OVERDUE,2026-02-12
INV-01004,2026-01-14,Gupta Supermarket,Vaishali Nagar,Dettol Soap,Personal Care,Reckitt,125g,52,31.0,43.63,9.1,Vijay Singh,PAID,2026-02-13
INV-01004,2026-01-14,Gupta Supermarket,Vaishali Nagar,Cornetto Ice Cream,Dairy,HUL,65ml,30,31.0,37.0,7.5,Ramesh Kumar,PAID,2026-02-13
INV-01004,2026-01-14,Gupta Supermarket,Vaishali Nagar,Yippee Noodles,Snacks,ITC,70g,37,12.0,15.55,8.5,Ramesh Kumar,PAID,2026-02-13
INV-01005,2026-01-14,Verma Kirana,Malviya Nagar,Kissan Jam,FMCG,HUL,500g,29,94.0,110.76,7.7,Suresh Sharma,PAID,2026-02-13
INV-01005,2026-01-14,Verma Kirana,Malviya Nagar,Marie Gold Biscuit,Snacks,Britannia,250g,38,24.0,31.69,6.8,Vijay Singh,PAID,2026-02-13
INV-01005,2026-01-14,Verma Kirana,Malviya Nagar,Frooti Mango Drink,Beverages,Parle,200ml,60,9.0,11.49,11.6,Vijay Singh,PAID,2026-02-13
INV-01006,2026-01-14,Agarwal Mart,Raja Park,Lays Classic,Snacks,PepsiCo,26g,37,9.0,11.66,10.3,Vijay Singh,PENDING,2026-02-13
INV-01006,2026-01-14,Agarwal Mart,Raja Park,7UP PET Bottle,Beverages,PepsiCo,750ml,11,28.0,35.56,11.1,Suresh Sharma,PENDING,2026-02-13
