product_name,category,company,size_variant,current_stock,last_purchase_date,last_sale_date,purchase_price,mrp,reorder_level
Surf Excel Detergent,FMCG,Hindustan Unilever,500g,5,2024-12-18,2024-12-24,131.45,172.81,13
Surf Excel Detergent,FMCG,Hindustan Unilever,1kg,9,2024-10-31,2024-11-30,66.68,88.36,8
Surf Excel Detergent,FMCG,Hindustan Unilever,2kg,60,2024-11-27,2024-12-02,137.57,192.25,7
Vim Dish Wash,FMCG,Hindustan Unilever,250ml,38,2024-10-19,2024-11-17,123.42,162.34,7
Vim Dish Wash,FMCG,Hindustan Unilever,500ml,7,2024-12-10,2024-12-16,62.37,84.78,5
Vim Dish Wash,FMCG,Hindustan Unilever,1L,63,2024-10-22,2024-11-16,118.61,163.66,27
Rin Bar,FMCG,Hindustan Unilever,100g,66,2024-10-11,2024-10-20,115.94,154.49,23
Rin Bar,FMCG,Hindustan Unilever,200g,24,2024-10-21,2024-11-18,72.15,100.66,29
Rin Bar,FMCG,Hindustan Unilever,400g,88,2024-10-05,2024-10-13,158.76,218.79,15
Wheel Detergent Powder,FMCG,Hindustan Unilever,500g,42,2024-12-15,2024-12-27,72.09,96.03,29
Wheel Detergent Powder,FMCG,Hindustan Unilever,1kg,12,2024-11-19,2024-11-27,81.73,107.96,8
Harpic Toilet Cleaner,FMCG,Hindustan Unilever,500ml,74,2024-12-07,2024-12-27,85.41,114.79,13
Harpic Toilet Cleaner,FMCG,Hindustan Unilever,1L,29,2024-11-19,2024-12-08,158.97,219.57,22
Colgate Toothpaste,FMCG,Hindustan Unilever,100g,27,2024-11-26,2024-12-24,46.97,65.79,7
Colgate Toothpaste,FMCG,Hindustan Unilever,200g,25,2024-12-11,2024-12-29,117.11,162.91,24
Colgate Toothpaste,FMCG,Hindustan Unilever,300g,39,2024-11-17,2024-12-02,171.84,231.25,11
Pepsodent Toothpaste,FMCG,Hindustan Unilever,70g,54,2024-11-21,2024-11-28,142.14,187.14,12
Pepsodent Toothpaste,FMCG,Hindustan Unilever,150g,37,2024-11-15,2024-11-24,153.39,215.83,12
Pepsodent Toothpaste,FMCG,Hindustan Unilever,300g,24,2024-11-22,2024-12-06,168.72,227.33,19
Lux Soap,FMCG,Hindustan Unilever,75g,69,2024-11-22,2024-12-01,130.83,176.1,16
Lux Soap,FMCG,Hindustan Unilever,150g,25,2024-11-30,2024-12-29,84.8,116.63,27
Lifebuoy Soap,FMCG,Hindustan Unilever,75g,29,2024-11-09,2024-12-08,180.24,247.5,24
Lifebuoy Soap,FMCG,Hindustan Unilever,150g,45,2024-11-29,2024-12-08,130.72,178.05,12
Lifebuoy Soap,FMCG,Hindustan Unilever,250g,44,2024-08-22,2024-09-21,53.3,71.82,25
Dettol Handwash,FMCG,Godrej Consumer,200ml,12,2024-11-15,2024-11-27,139.45,181.17,15
Dettol Handwash,FMCG,Godrej Consumer,500ml,33,2024-08-31,2024-09-16,164.84,221.08,12
Dove Shampoo,Personal Care,Hindustan Unilever,200ml,55,2024-11-23,2024-12-23,312.18,487.21,17
Dove Shampoo,Personal Care,Hindustan Unilever,400ml,111,2024-09-04,2024-09-18,130.27,194.95,23
Head & Shoulders Shampoo,Personal Care,Hindustan Unilever,180ml,29,2024-11-27,2024-12-21,330.09,497.56,25
Head & Shoulders Shampoo,Personal Care,Hindustan Unilever,360ml,56,2024-07-25,2024-08-08,206.27,323.78,25
Pantene Shampoo,Personal Care,Hindustan Unilever,185ml,107,2024-09-09,2024-09-15,193.01,289.93,12
Pantene Shampoo,Personal Care,Hindustan Unilever,370ml,31,2024-12-05,2024-12-26,286.97,439.42,28
Clinic Plus Shampoo,Personal Care,Hindustan Unilever,175ml,49,2024-11-12,2024-11-19,234.3,368.13,17
Clinic Plus Shampoo,Personal Care,Hindustan Unilever,350ml,51,2024-12-01,2024-12-15,161.22,255.15,9
Patanjali Kesh Kanti,Personal Care,Patanjali,200ml,52,2024-11-13,2024-12-05,209.65,291.18,6
Patanjali Kesh Kanti,Personal Care,Patanjali,450ml,75,2024-10-17,2024-11-16,325.08,453.31,10
Parachute Coconut Oil,Personal Care,Marico,200ml,63,2024-11-23,2024-12-11,302.42,459.28,7
Parachute Coconut Oil,Personal Care,Marico,500ml,92,2024-08-26,2024-09-07,168.69,259.37,19
Parachute Coconut Oil,Personal Care,Marico,1L,70,2024-11-25,2024-12-12,216.09,341.33,5
Marico Hair Oil,Personal Care,Marico,100ml,63,2024-12-12,2024-12-17,265.72,395.03,22
Marico Hair Oil,Personal Care,Marico,300ml,18,2024-11-22,2024-12-19,288.89,449.69,15
Fair & Lovely Cream,Personal Care,Hindustan Unilever,25g,20,2024-11-15,2024-12-05,78.99,120.07,19
Fair & Lovely Cream,Personal Care,Hindustan Unilever,50g,22,2024-11-18,2024-12-18,43.43,67.38,28
Fair & Lovely Cream,Personal Care,Hindustan Unilever,100g,66,2024-12-15,2024-12-25,128.84,196.75,10
Nivea Body Lotion,Personal Care,Hindustan Unilever,200ml,51,2024-12-03,2024-12-19,209.05,310.59,25
Nivea Body Lotion,Personal Care,Hindustan Unilever,400ml,90,2024-08-18,2024-09-17,140.35,216.45,24
Veet Hair Removal Cream,Personal Care,Hindustan Unilever,25g,7,2024-12-01,2024-12-09,107.67,162.97,10
Veet Hair Removal Cream,Personal Care,Hindustan Unilever,50g,79,2024-10-31,2024-11-23,219.46,341.85,21
Tata Tea Premium,Beverages,Tata Consumer,250g,16,2024-11-16,2024-11-21,313.88,434.47,20
Tata Tea Premium,Beverages,Tata Consumer,500g,26,2024-12-10,2024-12-27,37.76,53.25,30
Tata Tea Premium,Beverages,Tata Consumer,1kg,10,2024-11-18,2024-11-23,126.22,169.56,23
Red Label Tea,Beverages,Hindustan Unilever,250g,79,2024-12-19,2024-12-24,322.63,454.33,20
Red Label Tea,Beverages,Hindustan Unilever,500g,77,2024-12-03,2024-12-16,282.41,423.62,22
Red Label Tea,Beverages,Hindustan Unilever,1kg,36,2024-11-11,2024-11-25,266.99,377.09,20
Nescafe Classic Coffee,Beverages,Nestle,50g,96,2024-09-28,2024-10-04,322.59,451.58,21
