customer_id,customer_name,area,pincode,customer_type,credit_limit,outstanding_amount,last_order_date,last_payment_date,total_business_ytd
CUST0001,Patel Medical Store,Todaraisingh,304505,Wholesaler,50000,0.0,2026-01-27,2026-01-27,31380.57
CUST0002,Bairwa Enterprises,Deoli,304804,Retailer,160000,4838.71,2026-05-09,2026-05-09,99869.62
CUST0003,Patel Sons,Khanpur,304803,Retailer,255000,47416.1,2026-08-29,2026-08-29,116714.24
CUST0004,Kumar Departmental Store,Todaraisingh,304505,Retailer,160000,1354.44,2025-01-31,2025-01-31,1888.0
CUST0005,Kumar Supermart,Uniara,304024,Retailer,230000,66798.79,2026-06-20,2026-06-20,197554.24
CUST0006,Lodha Brothers,Sawai Madhopur,322001,Retailer,240000,3031.35,2026-08-04,2026-08-04,422454.59
CUST0007,Bohra Departmental Store,Todaraisingh,304505,Retailer,270000,0.0,2026-08-29,2026-08-29,74643.77
CUST0008,Kumar General Store,Todaraisingh,304505,Retailer,150000,7648.46,2026-04-16,2026-04-16,62577.75
CUST0009,Kumawat Traders,Tonk,304001,Retailer,75000,0.0,2025-09-08,2025-09-08,60457.08
CUST0010,Khandelwal Kirana,Niwai,304021,Retailer,230000,23834.23,2026-08-25,2026-08-25,279377.67
CUST0011,Bansal Brothers,Deoli,304804,Wholesaler,235000,14637.39,2026-08-24,2026-08-24,240841.12
CUST0012,Rajput Supermart,Sawai Madhopur,322001,Wholesaler,65000,13725.88,2026-04-27,2026-04-27,174065.58
CUST0013,Garg Enterprises,Malpura,304502,Retailer,270000,14802.79,2026-08-19,2026-08-19,202596.32
CUST0014,Mittal Supermart,Khanpur,304803,Wholesaler,135000,836.5,2026-08-18,2026-08-18,108780.2
CUST0015,Lodha Supermart,Deoli,304804,Retailer,215000,0.0,,,0.0
CUST0016,Bairwa Sons,Tonk,304001,Wholesaler,105000,0.0,2026-08-26,2026-08-26,458065.06
CUST0017,Patel Supermart,Niwai,304021,Retailer,115000,36692.63,2026-07-15,2026-07-15,101417.96
CUST0018,Garg Departmental Store,Uniara,304024,Retailer,155000,3887.79,2026-08-12,2026-08-12,215879.62
CUST0019,Rathi Traders,Khanpur,304803,Retailer,290000,7421.42,2026-08-31,2026-08-31,145006.65
