invoice_no,date,customer_name,customer_area,product_name,category,company,size_variant,quantity,purchase_price,sale_price,discount_pct,salesperson,payment_status,payment_due_date
SAL000001,2024-09-05,Patel Medical Store,Todaraisingh,Dairy Milk Chocolate,Snacks,Cadbury,40g,9,35.0,50.0,0.0,Ravi Choudhary,PAID,
SAL000001,2024-09-05,Patel Medical Store,Todaraisingh,Amul Butter,Packaged Foods,Amul,500g,33,211.0,270.0,0.0,Ravi Choudhary,PAID,
SAL000001,2024-09-05,Patel Medical Store,Todaraisingh,Aashirvaad Atta,Packaged Foods,ITC,5kg,40,203.0,260.0,5.0,Ravi Choudhary,PAID,
SAL000001,2024-09-05,Patel Medical Store,Todaraisingh,Lays Classic Chips,Snacks,PepsiCo,26g,2,9.0,13.0,7.0,Ravi Choudhary,PAID,
SAL000001,2024-09-05,Patel Medical Store,Todaraisingh,Sunfeast Dark Fantasy,Snacks,ITC,150g,14,31.0,45.0,0.0,Ravi Choudhary,PAID,
SAL000021,2026-01-22,Patel Medical Store,Todaraisingh,Sunfeast Bounce,Snacks,ITC,82g,22,28.0,40.0,0.0,Sanjay Rajput,PAID,
SAL000021,2026-01-22,Patel Medical Store,Todaraisingh,Lays Classic Chips,Snacks,PepsiCo,26g,1,9.0,13.0,0.0,Sanjay Rajput,PAID,
SAL000021,2026-01-22,Patel Medical Store,Todaraisingh,Brooke Bond Red Label Tea,Beverages,HUL,250g,19,95.0,130.0,0.0,Sanjay Rajput,PAID,
SAL000021,2026-01-22,Patel Medical Store,Todaraisingh,Jim Jam Biscuit,Snacks,Britannia,150g,24,22.0,32.0,7.0,Sanjay Rajput,PAID,
SAL000021,2026-01-22,Patel Medical Store,Todaraisingh,Vim Dishwash Bar,Personal Care,HUL,300g,13,18.0,28.0,5.0,Sanjay Rajput,PAID,
SAL000021,2026-01-22,Patel Medical Store,Todaraisingh,Reynolds Pen,FMCG,Reynolds,10pcs,29,45.0,65.0,0.0,Sanjay Rajput,PAID,
SAL000021,2026-01-22,Patel Medical Store,Todaraisingh,Britannia 50-50 Biscuit,Snacks,Britannia,100g,22,18.0,26.0,0.0,Sanjay Rajput,PAID,
SAL000022,2026-01-27,Patel Medical Store,Todaraisingh,Captain Cook Salt,Packaged Foods,Tata,1kg,40,16.0,22.0,0.0,Sanjay Rajput,PAID,
SAL000022,2026-01-27,Patel Medical Store,Todaraisingh,Amul Gold Milk,Dairy,Amul,1L,21,62.0,80.0,0.0,Sanjay Rajput,PAID,
SAL000030,2024-09-18,Bairwa Enterprises,Deoli,Vim Dishwash Bar,Personal Care,HUL,300g,32,18.0,28.0,5.0,Arun Gupta,PAID,
SAL000030,2024-09-18,Bairwa Enterprises,Deoli,Parle Groundnut Oil,Agricultural,Parle,1L,19,110.0,150.0,0.0,Arun Gupta,PAID,
SAL000030,2024-09-18,Bairwa Enterprises,Deoli,Pidilite M-Seal,Household,Pidilite,50g,42,48.0,72.0,5.0,Arun Gupta,PAID,
SAL000030,2024-09-18,Bairwa Enterprises,Deoli,Scotch Brite Scrub,Home Care,3M,1pc,33,22.0,35.0,2.0,Arun Gupta,PAID,
SAL000036,2024-10-02,Bairwa Enterprises,Deoli,Amul Kool Milk,Beverages,Amul,200ml,30,18.0,25.0,3.0,Arun Gupta,PAID,
SAL000036,2024-10-02,Bairwa Enterprises,Deoli,Tata Tea Gold,Beverages,Tata,500g,31,190.0,260.0,0.0,Arun Gupta,PAID,
SAL000043,2024-12-26,Bairwa Enterprises,Deoli,Coca Cola,Beverages,Coca-Cola,750ml,31,30.0,42.0,5.0,Rakesh Singh,PAID,
SAL000043,2024-12-26,Bairwa Enterprises,Deoli,Fevicol SH Adhesive,Household,Pidilite,200g,43,62.0,95.0,0.0,Rakesh Singh,PAID,
SAL000043,2024-12-26,Bairwa Enterprises,Deoli,Gillette Mach3 Razor,Personal Care,Gillette,2pcs,22,95.0,145.0,3.0,Rakesh Singh,PAID,
