po_number,date,supplier_name,product_name,size_variant,quantity,landing_cost,invoice_value
PO05001,2023-01-03,Amul Cooperative Jaipur,Amul Cheese Slices,400g,29,140.69,4080.01
PO05002,2023-01-03,Local Supplier,Tissue Box,100 sheets,14,22.52,315.28
PO05003,2023-01-03,Local Supplier,Rupa Underwear,S,54,175.57,9480.78
PO05004,2023-01-03,Britannia Jaipur Hub,Monaco Crackers,160g,63,19.39,1221.57
PO05005,2023-01-03,Local Supplier,Tang Powder,50g,91,224.52,20431.32
PO05006,2023-01-03,Local Supplier,Paperboat Drinks,200ml,73,262.91,19192.43
PO05007,2023-01-03,Amul Cooperative Jaipur,Amul Cheese Slices,200g,34,568.11,19315.74
PO05008,2023-01-03,Local Supplier,Natraj Pencil Box,20 pcs,16,27.9,446.4
PO05009,2023-01-03,Parle Agencies Jaipur,Parle-G Biscuits,200g,18,174.1,3133.8
PO05010,2023-01-03,ITC Regional Depot,Lays Chips,26g,82,170.78,14003.96
PO05011,2023-01-03,Local Supplier,Odonil Air Freshener,75g,57,139.67,7961.19
PO05012,2023-01-03,Amul Cooperative Jaipur,Amul Butter,100g,56,365.84,20487.04
PO05013,2023-01-03,Local Supplier,Lifebuoy Soap,75g,55,170.01,9350.55
PO05014,2023-01-03,Local Supplier,Everest Sabji Masala,50g,74,218.66,16180.84
PO05015,2023-01-03,Local Supplier,Pantene Shampoo,370ml,26,277.13,7205.38
PO05016,2023-01-03,ITC Regional Depot,Annapurna Atta,5kg,99,142.09,14066.91
PO05017,2023-01-03,Local Supplier,Godrej Hit Cockroach Spray,200ml,42,85.31,3583.02
PO05018,2023-01-03,Local Supplier,Bajaj LED Bulb 9W,4 pcs,68,201.25,13685.0
PO05019,2023-01-03,Local Supplier,Wheel Detergent Powder,1kg,23,75.29,1731.67
PO05020,2023-01-05,Local Supplier,Tissue Box,200 sheets,19,229.91,4368.29
PO05021,2023-01-05,ITC Regional Depot,Kurkure,100g,98,43.15,4228.7
PO05022,2023-01-05,Local Supplier,Pepsodent Toothpaste,70g,81,137.23,11115.63
PO05023,2023-01-05,Local Supplier,Jockey Vest,S,99,198.34,19635.66
PO05024,2023-01-05,Local Supplier,Pepsodent Toothpaste,300g,89,160.66,14298.74
PO05025,2023-01-05,Local Supplier,Pantene Shampoo,370ml,18,264.56,4762.08
PO05026,2023-01-05,Local Supplier,Rupa Underwear,S,70,178.69,12508.3
PO05027,2023-01-05,Local Supplier,Scotch Brite Scrub,3 pc,79,79.36,6269.44
PO05028,2023-01-05,Local Supplier,Head & Shoulders Shampoo,180ml,81,303.83,24610.23
PO05029,2023-01-05,Local Supplier,Natraj Pencil Box,20 pcs,52,27.98,1454.96
PO05030,2023-01-05,Local Supplier,Clinic Plus Shampoo,350ml,74,156.02,11545.48
