customer_id,party_name,address,city,district,state,pincode,phone,customer_type,ledger_group,opening_balance,credit_limit,credit_days,gstin_placeholder
CUST0001,Patel Medical Store,654 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9494990595,Wholesaler,Sundry Debtors,0.0,50000,45,08XXXXX0001X1ZA
CUST0002,Bairwa Enterprises,58 Main Road,Deoli,Tonk,Rajasthan,304804,9921976718,Retailer,Sundry Debtors,0.0,160000,30,08XXXXX0002X1ZA
CUST0003,Patel Sons,549 Main Road,Khanpur,Tonk,Rajasthan,304803,9764784552,Retailer,Sundry Debtors,9900.0,255000,30,08XXXXX0003X1ZA
CUST0004,Kumar Departmental Store,536 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9901159193,Retailer,Sundry Debtors,11000.0,160000,30,08XXXXX0004X1ZA
CUST0005,Kumar Supermart,523 Main Road,Uniara,Tonk,Rajasthan,304024,9841538194,Retailer,Sundry Debtors,45600.0,230000,30,08XXXXX0005X1ZA
CUST0006,Lodha Brothers,446 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9706306183,Retailer,Sundry Debtors,0.0,240000,30,08XXXXX0006X1ZA
CUST0007,Bohra Departmental Store,833 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9696517260,Retailer,Sundry Debtors,0.0,270000,45,08XXXXX0007X1ZA
CUST0008,Kumar General Store,525 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9537632274,Retailer,Sundry Debtors,0.0,150000,30,08XXXXX0008X1ZA
CUST0009,Kumawat Traders,545 Main Road,Tonk,Tonk,Rajasthan,304001,9380158188,Retailer,Sundry Debtors,0.0,75000,45,08XXXXX0009X1ZA
CUST0010,Khandelwal Kirana,307 Main Road,Niwai,Tonk,Rajasthan,304021,9112718487,Retailer,Sundry Debtors,0.0,230000,30,08XXXXX0010X1ZA
CUST0011,Bansal Brothers,926 Main Road,Deoli,Tonk,Rajasthan,304804,9313589876,Wholesaler,Sundry Debtors,0.0,235000,30,08XXXXX0011X1ZA
CUST0012,Rajput Supermart,561 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9846109656,Wholesaler,Sundry Debtors,10400.0,65000,30,08XXXXX0012X1ZA
CUST0013,Garg Enterprises,16 Main Road,Malpura,Tonk,Rajasthan,304502,9685916089,Retailer,Sundry Debtors,0.0,270000,30,08XXXXX0013X1ZA
CUST0014,Mittal Supermart,331 Main Road,Khanpur,Tonk,Rajasthan,304803,9998648768,Wholesaler,Sundry Debtors,0.0,135000,30,08XXXXX0014X1ZA
CUST0015,Lodha Supermart,395 Main Road,Deoli,Tonk,Rajasthan,304804,9823277662,Retailer,Sundry Debtors,14400.0,215000,30,08XXXXX0015X1ZA
CUST0016,Bairwa Sons,914 Main Road,Tonk,Tonk,Rajasthan,304001,9191662094,Wholesaler,Sundry Debtors,0.0,105000,30,08XXXXX0016X1ZA
CUST0017,Patel Supermart,810 Main Road,Niwai,Tonk,Rajasthan,304021,9902457418,Retailer,Sundry Debtors,6400.0,115000,30,08XXXXX0017X1ZA
CUST0018,Garg Departmental Store,62 Main Road,Uniara,Tonk,Rajasthan,304024,9386677113,Retailer,Sundry Debtors,0.0,155000,30,08XXXXX0018X1ZA
CUST0019,Rathi Traders,284 Main Road,Khanpur,Tonk,Rajasthan,304803,9463411623,Retailer,Sundry Debtors,0.0,290000,30,08XXXXX0019X1ZA
CUST0020,Kothari Traders,809 Main Road,Malpura,Tonk,Rajasthan,304502,9592311775,Wholesaler,Sundry Debtors,0.0,130000,45,08XXXXX0020X1ZA
CUST0021,Rajput Enterprises,875 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9837766999,Retailer,Sundry Debtors,0.0,115000,30,08XXXXX0021X1ZA
CUST0022,Natani Medical Store,811 Main Road,Deoli,Tonk,Rajasthan,304804,9466947510,Wholesaler,Sundry Debtors,0.0,100000,45,08XXXXX0022X1ZA
CUST0023,Khandelwal Enterprises,473 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9772008267,Wholesaler,Sundry Debtors,0.0,35000,30,08XXXXX0023X1ZA
CUST0024,Kasliwal Provisions,998 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9391225781,Wholesaler,Sundry Debtors,0.0,215000,30,08XXXXX0024X1ZA
CUST0025,Gupta Traders,32 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9861508201,Wholesaler,Sundry Debtors,0.0,125000,30,08XXXXX0025X1ZA
CUST0026,Garg Cold Store,642 Main Road,Tonk,Tonk,Rajasthan,304001,9901140358,Wholesaler,Sundry Debtors,0.0,270000,30,08XXXXX0026X1ZA
CUST0027,Yadav Kirana,315 Main Road,Niwai,Tonk,Rajasthan,304021,9177478171,Retailer,Sundry Debtors,0.0,40000,30,08XXXXX0027X1ZA
CUST0028,Kumawat Cold Store,109 Main Road,Uniara,Tonk,Rajasthan,304024,9764222201,Retailer,Sundry Debtors,23600.0,275000,30,08XXXXX0028X1ZA
CUST0029,Patel General Store,617 Main Road,Tonk,Tonk,Rajasthan,304001,9834057613,Retailer,Sundry Debtors,0.0,125000,30,08XXXXX0029X1ZA
CUST0030,Kumar Kirana,240 Main Road,Malpura,Tonk,Rajasthan,304502,9480884894,Retailer,Sundry Debtors,21900.0,160000,30,08XXXXX0030X1ZA
CUST0031,Meena Sons,390 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9266120028,Retailer,Sundry Debtors,0.0,120000,30,08XXXXX0031X1ZA
CUST0032,Kothari Supermart,449 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9889311585,Retailer,Sundry Debtors,4000.0,110000,30,08XXXXX0032X1ZA
CUST0033,Lodha Medical Store,899 Main Road,Deoli,Tonk,Rajasthan,304804,9144306851,Wholesaler,Sundry Debtors,0.0,85000,30,08XXXXX0033X1ZA
CUST0034,Saini Kirana,995 Main Road,Deoli,Tonk,Rajasthan,304804,9138999815,Wholesaler,Sundry Debtors,0.0,160000,30,08XXXXX0034X1ZA
CUST0035,Kumawat Departmental Store,474 Main Road,Niwai,Tonk,Rajasthan,304021,9888815967,Retailer,Sundry Debtors,47800.0,290000,30,08XXXXX0035X1ZA
CUST0036,Verma Supermart,821 Main Road,Tonk,Tonk,Rajasthan,304001,9943429234,Retailer,Sundry Debtors,0.0,245000,30,08XXXXX0036X1ZA
CUST0037,Mali Medical Store,231 Main Road,Tonk,Tonk,Rajasthan,304001,9966499446,Retailer,Sundry Debtors,0.0,190000,30,08XXXXX0037X1ZA
CUST0038,Sogani Provisions,946 Main Road,Niwai,Tonk,Rajasthan,304021,9893043028,Retailer,Sundry Debtors,0.0,180000,30,08XXXXX0038X1ZA
CUST0039,Lodha Enterprises,275 Main Road,Tonk,Tonk,Rajasthan,304001,9454479449,Retailer,Sundry Debtors,0.0,110000,30,08XXXXX0039X1ZA
CUST0040,Mali Traders,185 Main Road,Malpura,Tonk,Rajasthan,304502,9286384226,Wholesaler,Sundry Debtors,0.0,140000,30,08XXXXX0040X1ZA
CUST0041,Agarwal Provisions,587 Main Road,Deoli,Tonk,Rajasthan,304804,9610595168,Wholesaler,Sundry Debtors,0.0,130000,30,08XXXXX0041X1ZA
CUST0042,Kothari Cold Store,690 Main Road,Khanpur,Tonk,Rajasthan,304803,9187951144,Retailer,Sundry Debtors,0.0,180000,45,08XXXXX0042X1ZA
CUST0043,Choudhary Sons,731 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9679198409,Retailer,Sundry Debtors,0.0,205000,30,08XXXXX0043X1ZA
CUST0044,Bansal Provisions,712 Main Road,Tonk,Tonk,Rajasthan,304001,9537594807,Retailer,Sundry Debtors,0.0,125000,30,08XXXXX0044X1ZA
CUST0045,Bohra Provisions,931 Main Road,Khanpur,Tonk,Rajasthan,304803,9515539967,Wholesaler,Sundry Debtors,0.0,220000,45,08XXXXX0045X1ZA
CUST0046,Agarwal Enterprises,700 Main Road,Khanpur,Tonk,Rajasthan,304803,9896229034,Retailer,Sundry Debtors,0.0,55000,45,08XXXXX0046X1ZA
CUST0047,Bairwa Medical Store,773 Main Road,Deoli,Tonk,Rajasthan,304804,9191950329,Retailer,Sundry Debtors,0.0,110000,45,08XXXXX0047X1ZA
CUST0048,Nagar Provisions,178 Main Road,Tonk,Tonk,Rajasthan,304001,9587407352,Wholesaler,Sundry Debtors,0.0,95000,30,08XXXXX0048X1ZA
CUST0049,Kumawat Brothers,616 Main Road,Malpura,Tonk,Rajasthan,304502,9125866153,Retailer,Sundry Debtors,41600.0,135000,30,08XXXXX0049X1ZA
CUST0050,Mali General Store,15 Main Road,Tonk,Tonk,Rajasthan,304001,9412548127,Wholesaler,Sundry Debtors,0.0,160000,30,08XXXXX0050X1ZA
CUST0051,Yadav Cold Store,878 Main Road,Tonk,Tonk,Rajasthan,304001,9569443399,Retailer,Sundry Debtors,0.0,115000,30,08XXXXX0051X1ZA
CUST0052,Nagar Kirana,579 Main Road,Uniara,Tonk,Rajasthan,304024,9998066361,Retailer,Sundry Debtors,0.0,210000,45,08XXXXX0052X1ZA
CUST0053,Rajput Departmental Store,983 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9823115882,Wholesaler,Sundry Debtors,0.0,225000,30,08XXXXX0053X1ZA
CUST0054,Verma Sons,524 Main Road,Malpura,Tonk,Rajasthan,304502,9501154303,Retailer,Sundry Debtors,37100.0,45000,30,08XXXXX0054X1ZA
CUST0055,Yadav Brothers,512 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9464840446,Retailer,Sundry Debtors,0.0,50000,30,08XXXXX0055X1ZA
CUST0056,Sogani Traders,98 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9163315649,Wholesaler,Sundry Debtors,0.0,200000,30,08XXXXX0056X1ZA
CUST0057,Lodha Kirana,554 Main Road,Niwai,Tonk,Rajasthan,304021,9330105497,Retailer,Sundry Debtors,0.0,160000,30,08XXXXX0057X1ZA
CUST0058,Maheshwari Enterprises,247 Main Road,Niwai,Tonk,Rajasthan,304021,9833277705,Wholesaler,Sundry Debtors,0.0,260000,30,08XXXXX0058X1ZA
CUST0059,Verma Kirana,101 Main Road,Tonk,Tonk,Rajasthan,304001,9976956729,Retailer,Sundry Debtors,11800.0,55000,30,08XXXXX0059X1ZA
CUST0060,Bohra General Store,426 Main Road,Uniara,Tonk,Rajasthan,304024,9621962986,Wholesaler,Sundry Debtors,12000.0,160000,30,08XXXXX0060X1ZA
CUST0061,Bohra Medical Store,574 Main Road,Malpura,Tonk,Rajasthan,304502,9377188885,Wholesaler,Sundry Debtors,0.0,120000,45,08XXXXX0061X1ZA
CUST0062,Jain Kirana,837 Main Road,Niwai,Tonk,Rajasthan,304021,9993895978,Wholesaler,Sundry Debtors,16500.0,90000,30,08XXXXX0062X1ZA
CUST0063,Kothari Enterprises,868 Main Road,Niwai,Tonk,Rajasthan,304021,9859616325,Retailer,Sundry Debtors,42300.0,105000,30,08XXXXX0063X1ZA
CUST0064,Garg Sons,455 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9652951908,Retailer,Sundry Debtors,10200.0,240000,30,08XXXXX0064X1ZA
CUST0065,Patel Traders,172 Main Road,Malpura,Tonk,Rajasthan,304502,9546936212,Retailer,Sundry Debtors,0.0,245000,30,08XXXXX0065X1ZA
CUST0066,Rathi Kirana,212 Main Road,Niwai,Tonk,Rajasthan,304021,9555903627,Wholesaler,Sundry Debtors,0.0,285000,45,08XXXXX0066X1ZA
CUST0067,Verma Departmental Store,621 Main Road,Niwai,Tonk,Rajasthan,304021,9493179207,Wholesaler,Sundry Debtors,0.0,250000,45,08XXXXX0067X1ZA
CUST0068,Saini Traders,786 Main Road,Tonk,Tonk,Rajasthan,304001,9256462077,Retailer,Sundry Debtors,0.0,80000,30,08XXXXX0068X1ZA
CUST0069,Mittal Cold Store,825 Main Road,Uniara,Tonk,Rajasthan,304024,9732423508,Retailer,Sundry Debtors,0.0,30000,30,08XXXXX0069X1ZA
CUST0070,Patel Provisions,108 Main Road,Deoli,Tonk,Rajasthan,304804,9288210543,Retailer,Sundry Debtors,0.0,125000,30,08XXXXX0070X1ZA
CUST0071,Bohra Cold Store,985 Main Road,Tonk,Tonk,Rajasthan,304001,9634560646,Retailer,Sundry Debtors,7900.0,55000,30,08XXXXX0071X1ZA
CUST0072,Kothari Medical Store,842 Main Road,Deoli,Tonk,Rajasthan,304804,9759292237,Wholesaler,Sundry Debtors,0.0,145000,30,08XXXXX0072X1ZA
CUST0073,Choudhary Supermart,909 Main Road,Khanpur,Tonk,Rajasthan,304803,9935880329,Retailer,Sundry Debtors,0.0,165000,45,08XXXXX0073X1ZA
CUST0074,Kumar Traders,955 Main Road,Tonk,Tonk,Rajasthan,304001,9536405881,Retailer,Sundry Debtors,0.0,70000,30,08XXXXX0074X1ZA
CUST0075,Patel Departmental Store,181 Main Road,Uniara,Tonk,Rajasthan,304024,9280659372,Wholesaler,Sundry Debtors,11900.0,215000,30,08XXXXX0075X1ZA
CUST0076,Surana Traders,120 Main Road,Tonk,Tonk,Rajasthan,304001,9379455234,Retailer,Sundry Debtors,0.0,160000,30,08XXXXX0076X1ZA
CUST0077,Jain Medical Store,110 Main Road,Tonk,Tonk,Rajasthan,304001,9359526184,Retailer,Sundry Debtors,24800.0,65000,30,08XXXXX0077X1ZA
CUST0078,Choudhary Traders,865 Main Road,Malpura,Tonk,Rajasthan,304502,9273433786,Retailer,Sundry Debtors,0.0,50000,30,08XXXXX0078X1ZA
CUST0079,Surana Supermart,540 Main Road,Niwai,Tonk,Rajasthan,304021,9297778370,Retailer,Sundry Debtors,0.0,250000,30,08XXXXX0079X1ZA
CUST0080,Sogani Brothers,113 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9312562769,Wholesaler,Sundry Debtors,0.0,155000,30,08XXXXX0080X1ZA
CUST0081,Rajput General Store,391 Main Road,Malpura,Tonk,Rajasthan,304502,9406831816,Retailer,Sundry Debtors,0.0,145000,30,08XXXXX0081X1ZA
CUST0082,Kasliwal Brothers,613 Main Road,Deoli,Tonk,Rajasthan,304804,9967822131,Retailer,Sundry Debtors,4000.0,195000,30,08XXXXX0082X1ZA
CUST0083,Maheshwari Supermart,221 Main Road,Khanpur,Tonk,Rajasthan,304803,9634986512,Wholesaler,Sundry Debtors,0.0,180000,30,08XXXXX0083X1ZA
CUST0084,Jain Brothers,62 Main Road,Tonk,Tonk,Rajasthan,304001,9262292734,Retailer,Sundry Debtors,0.0,125000,45,08XXXXX0084X1ZA
CUST0085,Garg General Store,845 Main Road,Uniara,Tonk,Rajasthan,304024,9890250919,Wholesaler,Sundry Debtors,0.0,255000,45,08XXXXX0085X1ZA
CUST0086,Mittal Provisions,923 Main Road,Uniara,Tonk,Rajasthan,304024,9419443869,Wholesaler,Sundry Debtors,0.0,50000,45,08XXXXX0086X1ZA
CUST0087,Yadav Traders,197 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9197338807,Wholesaler,Sundry Debtors,0.0,190000,30,08XXXXX0087X1ZA
CUST0088,Nagar Supermart,454 Main Road,Niwai,Tonk,Rajasthan,304021,9961265111,Retailer,Sundry Debtors,0.0,265000,30,08XXXXX0088X1ZA
CUST0089,Rajput Traders,889 Main Road,Tonk,Tonk,Rajasthan,304001,9216883263,Wholesaler,Sundry Debtors,0.0,290000,30,08XXXXX0089X1ZA
CUST0090,Agarwal Medical Store,155 Main Road,Niwai,Tonk,Rajasthan,304021,9457552023,Wholesaler,Sundry Debtors,0.0,185000,45,08XXXXX0090X1ZA
CUST0091,Gupta Brothers,768 Main Road,Tonk,Tonk,Rajasthan,304001,9998257065,Retailer,Sundry Debtors,0.0,125000,30,08XXXXX0091X1ZA
CUST0092,Khandelwal Provisions,772 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9309085503,Retailer,Sundry Debtors,0.0,175000,45,08XXXXX0092X1ZA
CUST0093,Mali Enterprises,9 Main Road,Deoli,Tonk,Rajasthan,304804,9954561714,Retailer,Sundry Debtors,0.0,75000,30,08XXXXX0093X1ZA
CUST0094,Gupta Enterprises,394 Main Road,Deoli,Tonk,Rajasthan,304804,9299703220,Wholesaler,Sundry Debtors,0.0,160000,45,08XXXXX0094X1ZA
CUST0095,Sharma Medical Store,510 Main Road,Tonk,Tonk,Rajasthan,304001,9349611231,Retailer,Sundry Debtors,0.0,110000,45,08XXXXX0095X1ZA
CUST0096,Verma Cold Store,223 Main Road,Malpura,Tonk,Rajasthan,304502,9208412158,Retailer,Sundry Debtors,0.0,75000,30,08XXXXX0096X1ZA
CUST0097,Choudhary General Store,511 Main Road,Deoli,Tonk,Rajasthan,304804,9934314428,Retailer,Sundry Debtors,0.0,30000,30,08XXXXX0097X1ZA
CUST0098,Mittal Kirana,204 Main Road,Uniara,Tonk,Rajasthan,304024,9926680046,Retailer,Sundry Debtors,0.0,95000,45,08XXXXX0098X1ZA
CUST0099,Saini Supermart,409 Main Road,Uniara,Tonk,Rajasthan,304024,9867330076,Retailer,Sundry Debtors,0.0,40000,30,08XXXXX0099X1ZA
CUST0100,Rathi Medical Store,109 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9458758006,Wholesaler,Sundry Debtors,0.0,120000,30,08XXXXX0100X1ZA
CUST0101,Kumawat Kirana,89 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9303723415,Retailer,Sundry Debtors,0.0,285000,45,08XXXXX0101X1ZA
CUST0102,Meena Traders,863 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9398729657,Retailer,Sundry Debtors,0.0,240000,30,08XXXXX0102X1ZA
CUST0103,Natani Provisions,642 Main Road,Tonk,Tonk,Rajasthan,304001,9248642243,Retailer,Sundry Debtors,0.0,55000,30,08XXXXX0103X1ZA
CUST0104,Kumar Sons,546 Main Road,Sawai Madhopur,Sawai Madhopur,Rajasthan,322001,9661810075,Retailer,Sundry Debtors,0.0,140000,45,08XXXXX0104X1ZA
CUST0105,Saini Enterprises,984 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9167064775,Wholesaler,Sundry Debtors,11900.0,295000,30,08XXXXX0105X1ZA
CUST0106,Rathi Enterprises,750 Main Road,Todaraisingh,Tonk,Rajasthan,304505,9596988160,Retailer,Sundry Debtors,0.0,145000,30,08XXXXX0106X1ZA
CUST0107,Bansal Kirana,487 Main Road,Deoli,Tonk,Rajasthan,304804,9801470537,Retailer,Sundry Debtors,6100.0,180000,30,08XXXXX0107X1ZA
CUST0108,Jain Provisions,500 Main Road,Tonk,Tonk,Rajasthan,304001,9606926932,Retailer,Sundry Debtors,0.0,200000,30,08XXXXX0108X1ZA
CUST0109,Lodha Provisions,215 Main Road,Uniara,Tonk,Rajasthan,304024,9967283922,Retailer,Sundry Debtors,0.0,145000,45,08XXXXX0109X1ZA
