product_id,product_name,product_alias,category,sub_category,brand,unit,gst_rate,purchase_rate,selling_rate,size_variant,reorder_level,opening_stock
PRD0001,Brooke Bond Red Label Tea,Brooke 250g,Beverages,Beverages,HUL,PCS,12,95.0,130.0,250g,126,271
PRD0002,Tata Tea Gold,Tata 500g,Beverages,Beverages,Tata,PCS,12,190.0,260.0,500g,111,427
PRD0003,Nescafe Classic,Nescafe 50g,Beverages,Beverages,Nestle,PCS,12,195.0,280.0,50g,82,296
PRD0004,Bru Gold Coffee,Bru 100g,Beverages,Beverages,HUL,PCS,12,175.0,250.0,100g,140,372
PRD0005,Amul Kool Milk,Amul 200ml,Beverages,Beverages,Amul,PCS,12,18.0,25.0,200ml,141,470
PRD0006,Frooti Mango Drink,Frooti 200ml,Beverages,Beverages,PepsiCo,PCS,12,9.0,13.0,200ml,105,347
PRD0007,Maaza Mango,Maaza 600ml,Beverages,Beverages,Coca-Cola,PCS,12,32.0,45.0,600ml,46,319
PRD0008,Slice Mango Drink,Slice 600ml,Beverages,Beverages,PepsiCo,PCS,12,28.0,40.0,600ml,54,226
PRD0009,Thumbs Up Cola,Thumbs 750ml,Beverages,Beverages,Coca-Cola,PCS,12,30.0,42.0,750ml,69,346
PRD0010,Limca Lemon,Limca 750ml,Beverages,Beverages,Coca-Cola,PCS,12,28.0,40.0,750ml,54,175
PRD0011,Sprite,Sprite 750ml,Beverages,Beverages,Coca-Cola,PCS,12,28.0,40.0,750ml,55,67
PRD0012,Coca Cola,Coca 750ml,Beverages,Beverages,Coca-Cola,PCS,12,30.0,42.0,750ml,148,250
PRD0013,Pepsi,Pepsi 750ml,Beverages,Beverages,PepsiCo,PCS,12,28.0,40.0,750ml,45,286
PRD0014,Real Fruit Juice,Real 1L,Beverages,Beverages,Dabur,PCS,12,66.0,95.0,1L,120,67
PRD0015,Tropicana Orange Juice,Tropicana 1L,Beverages,Beverages,PepsiCo,PCS,12,77.0,110.0,1L,112,171
PRD0016,Colgate MaxFresh Toothpaste,Colgate 200g,Personal Care,Personal Care,Colgate,PCS,18,62.0,95.0,200g,37,286
PRD0017,Colgate Dental Cream,Colgate 100g,Personal Care,Personal Care,Colgate,PCS,18,38.0,58.0,100g,62,411
PRD0018,Pepsodent Toothpaste,Pepsodent 200g,Personal Care,Personal Care,HUL,PCS,18,55.0,82.0,200g,57,146
PRD0019,Dettol Soap,Dettol 125g,Personal Care,Personal Care,Reckitt,PCS,18,31.0,48.0,125g,42,445
PRD0020,Lux Beauty Soap,Lux 100g,Personal Care,Personal Care,HUL,PCS,18,22.0,35.0,100g,69,71
