payment_voucher_no,payment_date,customer_id,party_name,voucher_no,payment_amount,payment_mode,reference_no
PAY000001,2024-10-28,CUST0001,Patel Medical Store,SAL000001,20966.18,NEFT,REF00000001
PAY000021,2026-03-17,CUST0001,Patel Medical Store,SAL000021,7726.39,UPI,REF00000021
PAY000022,2026-03-20,CUST0001,Patel Medical Store,SAL000022,2688.0,NEFT,REF00000022
PAY000028,2024-10-30,CUST0002,Bairwa Enterprises,SAL000030,8654.55,UPI,REF00000028
PAY000034,2024-11-17,CUST0002,Bairwa Enterprises,SAL000036,9842.0,UPI,REF00000034
PAY000041,2025-01-30,CUST0002,Bairwa Enterprises,SAL000043,10115.8,Cash,REF00000041
PAY000048,2025-02-26,CUST0002,Bairwa Enterprises,SAL000050,20053.5,NEFT,REF00000048
PAY000056,2025-05-08,CUST0002,Bairwa Enterprises,SAL000058,268.8,Cheque,REF00000056
PAY000061,2025-06-16,CUST0002,Bairwa Enterprises,SAL000063,2485.13,Cash,REF00000061
PAY000065,2025-08-10,CUST0002,Bairwa Enterprises,SAL000067,2462.68,UPI,REF00000065
PAY000066,2025-07-18,CUST0002,Bairwa Enterprises,SAL000068,3727.68,NEFT,REF00000066
PAY000082,2026-03-07,CUST0002,Bairwa Enterprises,SAL000084,12608.22,NEFT,REF00000082
PAY000091,2026-06-18,CUST0002,Bairwa Enterprises,SAL000093,24812.55,Cheque,REF00000091
PAY000095,2024-11-28,CUST0003,Patel Sons,SAL000099,11436.02,NEFT,REF00000095
PAY000096,2024-11-28,CUST0003,Patel Sons,SAL000099,7067.45,UPI,REF00000096
PAY000113,2025-05-24,CUST0003,Patel Sons,SAL000113,10453.28,NEFT,REF00000113
PAY000122,2025-06-26,CUST0003,Patel Sons,SAL000119,3077.56,Cash,REF00000122
PAY000123,2025-06-26,CUST0003,Patel Sons,SAL000119,3817.0,UPI,REF00000123
PAY000127,2025-08-27,CUST0003,Patel Sons,SAL000122,4798.92,Cheque,REF00000127
PAY000129,2025-08-23,CUST0003,Patel Sons,SAL000124,6151.38,Cheque,REF00000129
PAY000135,2025-10-08,CUST0003,Patel Sons,SAL000129,4807.77,UPI,REF00000135
PAY000137,2025-11-09,CUST0003,Patel Sons,SAL000131,1041.72,Cheque,REF00000137
PAY000154,2026-04-10,CUST0003,Patel Sons,SAL000143,11172.17,Cheque,REF00000154
PAY000171,2026-07-19,CUST0003,Patel Sons,SAL000155,5474.87,Cheque,REF00000171
PAY000172,2025-03-27,CUST0004,Kumar Departmental Store,SAL000164,533.56,Cheque,REF00000172
PAY000174,2025-01-29,CUST0005,Kumar Supermart,SAL000167,5036.54,Cheque,REF00000174
PAY000175,2025-01-29,CUST0005,Kumar Supermart,SAL000167,2255.28,Cash,REF00000175
PAY000194,2025-06-18,CUST0005,Kumar Supermart,SAL000179,2762.19,Cheque,REF00000194
PAY000195,2025-08-14,CUST0005,Kumar Supermart,SAL000180,881.78,NEFT,REF00000195
PAY000197,2025-06-18,CUST0005,Kumar Supermart,SAL000182,1095.47,UPI,REF00000197
PAY000198,2025-06-18,CUST0005,Kumar Supermart,SAL000182,1841.96,Cheque,REF00000198
PAY000199,2025-05-21,CUST0005,Kumar Supermart,SAL000183,4725.63,Cash,REF00000199
