voucher_no,voucher_date,supplier_id,supplier_name,product_id,stock_item,pack,qty,unit,rate,discount_pct,taxable_amount,gst_amount,invoice_amount,godown
PUR000001,2024-09-01,SUP002,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,171,PCS,95.08,1.0,16096.09,1931.53,18027.62,Tonk Branch
PUR000002,2024-09-26,SUP003,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,299,PCS,95.92,0.0,28680.08,3441.61,32121.69,Tonk Branch
PUR000003,2024-10-19,SUP004,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,123,PCS,94.81,3.0,11311.78,1357.41,12669.19,Main Godown
PUR000004,2024-11-27,SUP005,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,199,PCS,94.98,2.0,18523.0,2222.76,20745.76,Tonk Branch
PUR000005,2024-12-23,SUP006,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,104,PCS,94.87,1.0,9767.82,1172.14,10939.96,Main Godown
PUR000006,2025-01-30,SUP007,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,153,PCS,95.59,3.0,14186.51,1702.38,15888.89,Tonk Branch
PUR000007,2025-02-24,SUP008,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,313,PCS,95.69,3.0,29052.44,3486.29,32538.73,Main Godown
PUR000008,2025-03-21,SUP009,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,198,PCS,94.63,3.0,18174.64,2180.96,20355.6,Main Godown
PUR000009,2025-04-17,SUP010,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,197,PCS,94.66,3.0,18088.58,2170.63,20259.21,Main Godown
PUR000010,2025-05-21,SUP011,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,482,PCS,95.66,3.0,44724.88,5366.99,50091.87,Main Godown
PUR000011,2025-06-23,SUP012,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,278,PCS,95.69,2.0,26069.78,3128.37,29198.15,Main Godown
PUR000012,2025-07-31,SUP013,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,379,PCS,94.62,3.0,34785.15,4174.22,38959.37,Tonk Branch
PUR000013,2025-09-01,SUP014,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,275,PCS,95.04,1.0,25874.64,3104.96,28979.6,Main Godown
PUR000014,2025-09-21,SUP015,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,110,PCS,95.53,2.0,10298.13,1235.78,11533.91,Main Godown
PUR000015,2025-10-26,SUP001,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,245,PCS,95.43,2.0,22912.74,2749.53,25662.27,Main Godown
PUR000016,2025-11-23,SUP002,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,223,PCS,94.82,2.0,20721.96,2486.64,23208.6,Main Godown
PUR000017,2025-12-23,SUP003,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,157,PCS,94.86,2.0,14595.16,1751.42,16346.58,Main Godown
PUR000018,2026-01-31,SUP004,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,102,PCS,95.69,0.0,9760.38,1171.25,10931.63,Tonk Branch
PUR000019,2026-03-01,SUP005,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,270,PCS,94.63,1.0,25294.6,3035.35,28329.95,Main Godown
PUR000020,2026-04-01,SUP006,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,418,PCS,95.2,0.0,39793.6,4775.23,44568.83,Main Godown
PUR000021,2026-04-18,SUP007,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,487,PCS,95.18,0.0,46352.66,5562.32,51914.98,Tonk Branch
PUR000022,2026-05-27,SUP008,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,569,PCS,95.56,1.0,53829.9,6459.59,60289.49,Tonk Branch
PUR000023,2026-06-17,SUP009,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,205,PCS,94.65,0.0,19403.25,2328.39,21731.64,Main Godown
PUR000024,2026-07-23,SUP010,HUL Distributor Ajmer,PRD0001,Brooke Bond Red Label Tea,250g,278,PCS,95.12,2.0,25914.49,3109.74,29024.23,Tonk Branch
PUR000025,2024-09-01,SUP011,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,446,PCS,191.13,2.0,83539.1,10024.69,93563.79,Tonk Branch
PUR000026,2024-09-24,SUP012,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,417,PCS,190.8,0.0,79563.6,9547.63,89111.23,Main Godown
PUR000027,2024-10-31,SUP013,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,114,PCS,189.49,3.0,20953.8,2514.46,23468.26,Main Godown
PUR000028,2024-11-27,SUP014,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,138,PCS,191.77,3.0,25670.33,3080.44,28750.77,Main Godown
PUR000029,2024-12-26,SUP015,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,101,PCS,189.38,1.0,18936.11,2272.33,21208.44,Main Godown
PUR000030,2025-01-19,SUP001,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,302,PCS,191.35,1.0,57209.82,6865.18,64075.0,Main Godown
PUR000031,2025-02-27,SUP002,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,223,PCS,190.87,1.0,42138.37,5056.6,47194.97,Tonk Branch
PUR000032,2025-04-01,SUP003,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,297,PCS,191.65,1.0,56350.85,6762.1,63112.95,Main Godown
PUR000033,2025-04-26,SUP004,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,606,PCS,190.93,3.0,112232.47,13467.9,125700.37,Tonk Branch
PUR000034,2025-05-25,SUP005,Tata Consumer Products,PRD0002,Tata Tea Gold,500g,437,PCS,191.24,2.0,81900.44,9828.05,91728.49,Tonk Branch
