voucher_no,voucher_date,customer_id,party_name,place,product_id,stock_item,pack,qty,unit,rate_cost,rate_sale,discount_pct,taxable_amount,gst_amount,invoice_amount,godown,salesman_name,voucher_type
SAL000001,2024-09-05,CUST0001,Patel Medical Store,Todaraisingh,PRD0069,Dairy Milk Chocolate,40g,9,PCS,35.37,50.0,0.0,450.0,54.0,20966.18,Main Godown,Ravi Choudhary,Sales
SAL000001,2024-09-05,CUST0001,Patel Medical Store,Todaraisingh,PRD0082,Amul Butter,500g,33,PCS,211.98,270.0,0.0,8910.0,445.5,20966.18,Main Godown,Ravi Choudhary,Sales
SAL000001,2024-09-05,CUST0001,Patel Medical Store,Todaraisingh,PRD0071,Aashirvaad Atta,5kg,40,PCS,203.28,260.0,5.0,9880.0,494.0,20966.18,Sawai Madhopur Branch,Ravi Choudhary,Sales
SAL000001,2024-09-05,CUST0001,Patel Medical Store,Todaraisingh,PRD0055,Lays Classic Chips,26g,2,PCS,9.1,13.0,7.0,24.18,2.9,20966.18,Sawai Madhopur Branch,Ravi Choudhary,Sales
SAL000001,2024-09-05,CUST0001,Patel Medical Store,Todaraisingh,PRD0064,Sunfeast Dark Fantasy,150g,14,PCS,31.54,45.0,0.0,630.0,75.6,20966.18,Main Godown,Ravi Choudhary,Sales
SAL000021,2026-01-22,CUST0001,Patel Medical Store,Todaraisingh,PRD0126,Sunfeast Bounce,82g,22,PCS,28.26,40.0,0.0,880.0,105.6,7726.39,Sawai Madhopur Branch,Sanjay Rajput,Sales
SAL000021,2026-01-22,CUST0001,Patel Medical Store,Todaraisingh,PRD0055,Lays Classic Chips,26g,1,PCS,9.03,13.0,0.0,13.0,1.56,7726.39,Sawai Madhopur Branch,Sanjay Rajput,Sales
SAL000021,2026-01-22,CUST0001,Patel Medical Store,Todaraisingh,PRD0001,Brooke Bond Red Label Tea,250g,19,PCS,96.02,130.0,0.0,2470.0,296.4,7726.39,Sawai Madhopur Branch,Sanjay Rajput,Sales
SAL000021,2026-01-22,CUST0001,Patel Medical Store,Todaraisingh,PRD0127,Jim Jam Biscuit,150g,24,PCS,22.4,32.0,7.0,714.24,85.71,7726.39,Tonk Branch,Sanjay Rajput,Sales
SAL000021,2026-01-22,CUST0001,Patel Medical Store,Todaraisingh,PRD0034,Vim Dishwash Bar,300g,13,PCS,18.09,28.0,5.0,345.8,62.24,7726.39,Sawai Madhopur Branch,Sanjay Rajput,Sales
SAL000021,2026-01-22,CUST0001,Patel Medical Store,Todaraisingh,PRD0105,Reynolds Pen,10pcs,29,PCS,45.3,65.0,0.0,1885.0,226.2,7726.39,Tonk Branch,Sanjay Rajput,Sales
SAL000021,2026-01-22,CUST0001,Patel Medical Store,Todaraisingh,PRD0062,Britannia 50-50 Biscuit,100g,22,PCS,18.09,26.0,0.0,572.0,68.64,7726.39,Main Godown,Sanjay Rajput,Sales
SAL000022,2026-01-27,CUST0001,Patel Medical Store,Todaraisingh,PRD0076,Captain Cook Salt,1kg,40,PCS,16.07,22.0,0.0,880.0,44.0,2688.0,Tonk Branch,Sanjay Rajput,Sales
SAL000022,2026-01-27,CUST0001,Patel Medical Store,Todaraisingh,PRD0090,Amul Gold Milk,1L,21,PCS,62.82,80.0,0.0,1680.0,84.0,2688.0,Sawai Madhopur Branch,Sanjay Rajput,Sales
SAL000030,2024-09-18,CUST0002,Bairwa Enterprises,Deoli,PRD0034,Vim Dishwash Bar,300g,32,PCS,18.21,28.0,5.0,851.2,153.22,8654.55,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000030,2024-09-18,CUST0002,Bairwa Enterprises,Deoli,PRD0122,Parle Groundnut Oil,1L,19,PCS,111.19,150.0,0.0,2850.0,142.5,8654.55,Main Godown,Arun Gupta,Sales
SAL000030,2024-09-18,CUST0002,Bairwa Enterprises,Deoli,PRD0117,Pidilite M-Seal,50g,42,PCS,48.25,72.0,5.0,2872.8,517.1,8654.55,Tonk Branch,Arun Gupta,Sales
SAL000030,2024-09-18,CUST0002,Bairwa Enterprises,Deoli,PRD0043,Scotch Brite Scrub,1pc,33,PCS,22.18,35.0,2.0,1131.9,135.83,8654.55,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000036,2024-10-02,CUST0002,Bairwa Enterprises,Deoli,PRD0005,Amul Kool Milk,200ml,30,PCS,18.06,25.0,3.0,727.5,87.3,9842.0,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000036,2024-10-02,CUST0002,Bairwa Enterprises,Deoli,PRD0002,Tata Tea Gold,500g,31,PCS,191.13,260.0,0.0,8060.0,967.2,9842.0,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000043,2024-12-26,CUST0002,Bairwa Enterprises,Deoli,PRD0012,Coca Cola,750ml,31,PCS,30.59,42.0,5.0,1236.9,148.43,10115.8,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000043,2024-12-26,CUST0002,Bairwa Enterprises,Deoli,PRD0116,Fevicol SH Adhesive,200g,43,PCS,62.64,95.0,0.0,4085.0,490.2,10115.8,Main Godown,Rakesh Singh,Sales
SAL000043,2024-12-26,CUST0002,Bairwa Enterprises,Deoli,PRD0029,Gillette Mach3 Razor,2pcs,22,PCS,96.83,145.0,3.0,3094.3,556.97,10115.8,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000043,2024-12-26,CUST0002,Bairwa Enterprises,Deoli,PRD0007,Maaza Mango,600ml,10,PCS,32.04,45.0,0.0,450.0,54.0,10115.8,Main Godown,Rakesh Singh,Sales
SAL000050,2025-01-18,CUST0002,Bairwa Enterprises,Deoli,PRD0030,Gillette Fusion Razor,2pcs,31,PCS,197.55,295.0,0.0,9145.0,1646.1,20053.5,Main Godown,Arun Gupta,Sales
SAL000050,2025-01-18,CUST0002,Bairwa Enterprises,Deoli,PRD0037,Ariel Detergent,1kg,39,PCS,95.96,145.0,0.0,5655.0,678.6,20053.5,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000050,2025-01-18,CUST0002,Bairwa Enterprises,Deoli,PRD0014,Real Fruit Juice,1L,9,PCS,66.22,95.0,0.0,855.0,102.6,20053.5,Tonk Branch,Arun Gupta,Sales
SAL000050,2025-01-18,CUST0002,Bairwa Enterprises,Deoli,PRD0063,Monaco Biscuit,250g,44,PCS,28.34,40.0,0.0,1760.0,211.2,20053.5,Main Godown,Arun Gupta,Sales
SAL000058,2025-04-03,CUST0002,Bairwa Enterprises,Deoli,PRD0097,Savlon Antiseptic,200ml,3,PCS,55.19,80.0,0.0,240.0,28.8,268.8,Tonk Branch,Rakesh Singh,Sales
SAL000063,2025-05-10,CUST0002,Bairwa Enterprises,Deoli,PRD0003,Nescafe Classic,50g,4,PCS,197.78,280.0,0.0,1120.0,134.4,3550.4,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000063,2025-05-10,CUST0002,Bairwa Enterprises,Deoli,PRD0068,Perk Chocolate,36g,5,PCS,18.29,25.0,0.0,125.0,15.0,3550.4,Tonk Branch,Arun Gupta,Sales
SAL000063,2025-05-10,CUST0002,Bairwa Enterprises,Deoli,PRD0106,Classmate Notebook,172pg,35,PCS,38.13,55.0,0.0,1925.0,231.0,3550.4,Main Godown,Arun Gupta,Sales
SAL000067,2025-06-26,CUST0002,Bairwa Enterprises,Deoli,PRD0091,Nestle Milkmaid,400g,19,PCS,88.47,118.0,3.0,2174.74,108.74,2462.68,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000067,2025-06-26,CUST0002,Bairwa Enterprises,Deoli,PRD0013,Pepsi,750ml,4,PCS,28.12,40.0,0.0,160.0,19.2,2462.68,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000068,2025-06-07,CUST0002,Bairwa Enterprises,Deoli,PRD0049,Exo Dishwash Bar,200g,1,PCS,15.22,22.0,10.0,19.8,2.38,7501.12,Sawai Madhopur Branch,Arun Gupta,Sales
SAL000068,2025-06-07,CUST0002,Bairwa Enterprises,Deoli,PRD0082,Amul Butter,500g,18,PCS,212.45,270.0,2.0,4762.8,238.14,7501.12,Main Godown,Arun Gupta,Sales
SAL000068,2025-06-07,CUST0002,Bairwa Enterprises,Deoli,PRD0091,Nestle Milkmaid,400g,20,PCS,88.72,118.0,0.0,2360.0,118.0,7501.12,Main Godown,Arun Gupta,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0046,All Out Mosquito Repellent,45ml,42,PCS,55.83,82.0,0.0,3444.0,413.28,12608.22,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0099,Band-Aid Strips,10pcs,24,PCS,22.22,32.0,0.0,768.0,92.16,12608.22,Tonk Branch,Rakesh Singh,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0011,Sprite,750ml,17,PCS,28.47,40.0,7.0,632.4,75.89,12608.22,Main Godown,Rakesh Singh,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0085,Maggi Masala,100g,16,PCS,22.36,30.0,0.0,480.0,24.0,12608.22,Tonk Branch,Rakesh Singh,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0112,Bisleri Water 500ml,500ml,34,PCS,8.03,15.0,0.0,510.0,91.8,12608.22,Tonk Branch,Rakesh Singh,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0054,Marie Gold Biscuit,250g,13,PCS,24.1,34.0,3.0,428.74,51.45,12608.22,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0071,Aashirvaad Atta,5kg,12,PCS,204.21,260.0,0.0,3120.0,156.0,12608.22,Tonk Branch,Rakesh Singh,Sales
SAL000084,2026-01-28,CUST0002,Bairwa Enterprises,Deoli,PRD0074,Fortune Sunflower Oil,1L,13,PCS,127.26,170.0,0.0,2210.0,110.5,12608.22,Main Godown,Rakesh Singh,Sales
SAL000093,2026-05-09,CUST0002,Bairwa Enterprises,Deoli,PRD0013,Pepsi,750ml,27,PCS,28.37,40.0,5.0,1026.0,123.12,24812.55,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000093,2026-05-09,CUST0002,Bairwa Enterprises,Deoli,PRD0003,Nescafe Classic,50g,63,PCS,195.37,280.0,0.0,17640.0,2116.8,24812.55,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000093,2026-05-09,CUST0002,Bairwa Enterprises,Deoli,PRD0032,Fair & Lovely Cream,100g,14,PCS,58.41,88.0,0.0,1232.0,221.76,24812.55,Sawai Madhopur Branch,Rakesh Singh,Sales
SAL000093,2026-05-09,CUST0002,Bairwa Enterprises,Deoli,PRD0012,Coca Cola,750ml,27,PCS,30.43,42.0,10.0,1020.6,122.47,24812.55,Main Godown,Rakesh Singh,Sales
SAL000093,2026-05-09,CUST0002,Bairwa Enterprises,Deoli,PRD0025,Pantene Shampoo,180ml,6,PCS,127.38,185.0,0.0,1110.0,199.8,24812.55,Main Godown,Rakesh Singh,Sales
SAL000099,2024-09-06,CUST0003,Patel Sons,Khanpur,PRD0052,Britannia Good Day,200g,25,PCS,27.48,38.0,0.0,950.0,114.0,18503.47,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000099,2024-09-06,CUST0003,Patel Sons,Khanpur,PRD0133,Mortein Insect Spray,300ml,36,PCS,142.5,215.0,3.0,7507.8,900.94,18503.47,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000099,2024-09-06,CUST0003,Patel Sons,Khanpur,PRD0096,Dettol Handwash,200ml,5,PCS,65.38,95.0,0.0,475.0,57.0,18503.47,Main Godown,Nikhil Gupta,Sales
SAL000099,2024-09-06,CUST0003,Patel Sons,Khanpur,PRD0029,Gillette Mach3 Razor,2pcs,29,PCS,95.78,145.0,7.0,3910.65,703.92,18503.47,Sawai Madhopur Branch,Nikhil Gupta,Sales
SAL000099,2024-09-06,CUST0003,Patel Sons,Khanpur,PRD0050,Domex Toilet Cleaner,500ml,34,PCS,68.69,102.0,0.0,3468.0,416.16,18503.47,Tonk Branch,Nikhil Gupta,Sales
SAL000113,2025-02-26,CUST0003,Patel Sons,Khanpur,PRD0027,Dabur Amla Hair Oil,500ml,24,PCS,68.31,100.0,0.0,2400.0,432.0,10453.28,Sawai Madhopur Branch,Amit Sharma,Sales
