product_id,product_name,godown,opening_qty,inward_qty,outward_qty,closing_qty,closing_rate,closing_value
PRD0001,Brooke Bond Red Label Tea,Main Godown,127,3741,3088,780,95.1,74178.0
PRD0001,Brooke Bond Red Label Tea,Tonk Branch,46,1558,1287,317,96.07,30454.19
PRD0001,Brooke Bond Red Label Tea,Sawai Madhopur Branch,9,935,772,172,95.49,16424.28
PRD0002,Tata Tea Gold,Main Godown,88,3827,3157,758,191.97,145513.26
PRD0002,Tata Tea Gold,Tonk Branch,125,1594,1315,404,192.53,77782.12
PRD0002,Tata Tea Gold,Sawai Madhopur Branch,63,956,789,230,193.29,44456.7
PRD0003,Nescafe Classic,Main Godown,94,3369,2845,618,197.86,122277.48
PRD0003,Nescafe Classic,Tonk Branch,43,1403,1185,261,195.89,51127.29
PRD0003,Nescafe Classic,Sawai Madhopur Branch,8,842,711,139,194.95,27098.05
PRD0004,Bru Gold Coffee,Main Godown,94,3550,2961,683,176.85,120788.55
PRD0004,Bru Gold Coffee,Tonk Branch,28,1479,1234,273,173.37,47330.01
PRD0004,Bru Gold Coffee,Sawai Madhopur Branch,44,887,740,191,176.61,33732.51
PRD0005,Amul Kool Milk,Main Godown,89,4040,3310,819,18.35,15028.65
PRD0005,Amul Kool Milk,Tonk Branch,130,1683,1379,434,18.34,7959.56
PRD0005,Amul Kool Milk,Sawai Madhopur Branch,47,1010,827,230,17.87,4110.1
PRD0006,Frooti Mango Drink,Main Godown,28,3847,3218,657,9.09,5972.13
PRD0006,Frooti Mango Drink,Tonk Branch,55,1603,1341,317,9.13,2894.21
PRD0006,Frooti Mango Drink,Sawai Madhopur Branch,22,961,804,179,9.05,1619.95
PRD0007,Maaza Mango,Main Godown,67,3943,3271,739,31.82,23514.98
PRD0007,Maaza Mango,Tonk Branch,68,1643,1363,348,32.22,11212.56
PRD0007,Maaza Mango,Sawai Madhopur Branch,41,985,817,209,32.05,6698.45
PRD0008,Slice Mango Drink,Main Godown,128,3462,2886,704,28.41,20000.64
PRD0008,Slice Mango Drink,Tonk Branch,53,1442,1202,293,28.08,8227.44
PRD0008,Slice Mango Drink,Sawai Madhopur Branch,23,865,721,167,28.27,4721.09
PRD0009,Thumbs Up Cola,Main Godown,49,3285,2746,588,29.87,17563.56
PRD0009,Thumbs Up Cola,Tonk Branch,9,1368,1144,233,29.76,6934.08
PRD0009,Thumbs Up Cola,Sawai Madhopur Branch,47,821,686,182,30.47,5545.54
PRD0010,Limca Lemon,Main Godown,11,3460,2914,557,28.3,15763.1
PRD0010,Limca Lemon,Tonk Branch,11,1441,1214,238,28.1,6687.8
PRD0010,Limca Lemon,Sawai Madhopur Branch,43,865,728,180,28.15,5067.0
PRD0011,Sprite,Main Godown,49,3439,2906,582,28.07,16336.74
PRD0011,Sprite,Tonk Branch,24,1433,1211,246,28.2,6937.2
PRD0011,Sprite,Sawai Madhopur Branch,5,859,726,138,28.33,3909.54
PRD0012,Coca Cola,Main Godown,120,3877,3213,784,29.75,23324.0
PRD0012,Coca Cola,Tonk Branch,9,1615,1338,286,29.87,8542.82
PRD0012,Coca Cola,Sawai Madhopur Branch,41,969,803,207,30.31,6274.17
PRD0013,Pepsi,Main Godown,108,3120,2582,646,28.19,18210.74
PRD0013,Pepsi,Tonk Branch,36,1300,1076,260,28.09,7303.4
PRD0013,Pepsi,Sawai Madhopur Branch,14,780,645,149,27.87,4152.63
PRD0014,Real Fruit Juice,Main Godown,37,3484,2893,628,66.3,41636.4
PRD0014,Real Fruit Juice,Tonk Branch,34,1451,1205,280,66.26,18552.8
PRD0014,Real Fruit Juice,Sawai Madhopur Branch,23,871,723,171,66.02,11289.42
PRD0015,Tropicana Orange Juice,Main Godown,27,3720,3120,627,77.79,48774.33
PRD0015,Tropicana Orange Juice,Tonk Branch,54,1550,1300,304,76.31,23198.24
PRD0015,Tropicana Orange Juice,Sawai Madhopur Branch,42,930,780,192,78.16,15006.72
PRD0016,Colgate MaxFresh Toothpaste,Main Godown,40,3761,3093,708,63.0,44604.0
PRD0016,Colgate MaxFresh Toothpaste,Tonk Branch,26,1567,1288,305,62.03,18919.15
PRD0016,Colgate MaxFresh Toothpaste,Sawai Madhopur Branch,13,940,773,180,61.54,11077.2
PRD0017,Colgate Dental Cream,Main Godown,77,3340,2748,669,38.37,25669.53
PRD0017,Colgate Dental Cream,Tonk Branch,90,1392,1145,337,38.72,13048.64
PRD0017,Colgate Dental Cream,Sawai Madhopur Branch,36,835,687,184,37.96,6984.64
PRD0018,Pepsodent Toothpaste,Main Godown,82,3740,3151,671,55.11,36978.81
PRD0018,Pepsodent Toothpaste,Tonk Branch,32,1558,1313,277,54.98,15229.46
PRD0018,Pepsodent Toothpaste,Sawai Madhopur Branch,21,935,787,169,55.07,9306.83
PRD0019,Dettol Soap,Main Godown,227,3907,3253,881,31.36,27628.16
PRD0019,Dettol Soap,Tonk Branch,75,1628,1355,348,30.81,10721.88
PRD0019,Dettol Soap,Sawai Madhopur Branch,32,976,813,195,30.86,6017.7
PRD0020,Lux Beauty Soap,Main Godown,23,3564,2955,632,22.03,13922.96
PRD0020,Lux Beauty Soap,Tonk Branch,7,1485,1231,261,21.84,5700.24
PRD0020,Lux Beauty Soap,Sawai Madhopur Branch,12,891,738,165,21.83,3601.95
PRD0021,Lifebuoy Soap,Main Godown,10,3708,3051,667,17.97,11985.99
PRD0021,Lifebuoy Soap,Tonk Branch,94,1545,1271,368,18.17,6686.56
PRD0021,Lifebuoy Soap,Sawai Madhopur Branch,73,927,762,238,18.3,4355.4
PRD0022,Dove Soap,Main Godown,61,3478,2936,603,42.79,25802.37
PRD0022,Dove Soap,Tonk Branch,35,1449,1223,261,41.9,10935.9
PRD0022,Dove Soap,Sawai Madhopur Branch,14,869,734,149,42.37,6313.13
PRD0023,Head & Shoulders Shampoo,Main Godown,214,3203,2672,745,117.44,87492.8
PRD0023,Head & Shoulders Shampoo,Tonk Branch,107,1334,1113,328,120.19,39422.32
PRD0023,Head & Shoulders Shampoo,Sawai Madhopur Branch,64,800,668,196,120.35,23588.6
PRD0024,Clinic Plus Shampoo,Main Godown,99,3513,2905,707,51.02,36071.14
PRD0024,Clinic Plus Shampoo,Tonk Branch,14,1464,1210,268,50.95,13654.6
PRD0024,Clinic Plus Shampoo,Sawai Madhopur Branch,22,878,726,174,51.92,9034.08
PRD0025,Pantene Shampoo,Main Godown,8,3752,3124,636,124.13,78946.68
PRD0025,Pantene Shampoo,Tonk Branch,33,1563,1301,295,124.49,36724.55
PRD0025,Pantene Shampoo,Sawai Madhopur Branch,12,938,781,169,126.09,21309.21
PRD0026,Parachute Coconut Oil,Main Godown,165,3541,2890,816,75.42,61542.72
PRD0026,Parachute Coconut Oil,Tonk Branch,11,1475,1204,282,75.92,21409.44
PRD0026,Parachute Coconut Oil,Sawai Madhopur Branch,50,885,722,213,74.97,15968.61
PRD0027,Dabur Amla Hair Oil,Main Godown,167,3406,2816,757,68.22,51642.54
PRD0027,Dabur Amla Hair Oil,Tonk Branch,57,1419,1173,303,68.57,20776.71
PRD0027,Dabur Amla Hair Oil,Sawai Madhopur Branch,6,851,704,153,69.31,10604.43
PRD0028,Vivel Soap,Main Godown,94,3597,3030,661,20.23,13372.03
PRD0028,Vivel Soap,Tonk Branch,20,1499,1262,257,19.97,5132.29
PRD0028,Vivel Soap,Sawai Madhopur Branch,5,899,757,147,19.92,2928.24
PRD0029,Gillette Mach3 Razor,Main Godown,138,3584,2973,749,94.74,70960.26
PRD0029,Gillette Mach3 Razor,Tonk Branch,26,1493,1238,281,96.85,27214.85
PRD0029,Gillette Mach3 Razor,Sawai Madhopur Branch,28,896,743,181,95.16,17223.96
PRD0030,Gillette Fusion Razor,Main Godown,206,2936,2440,702,195.71,137388.42
PRD0030,Gillette Fusion Razor,Tonk Branch,103,1223,1017,309,195.81,60505.29
PRD0030,Gillette Fusion Razor,Sawai Madhopur Branch,66,734,610,190,197.76,37574.4
PRD0031,Nivea Cream,Main Godown,81,3747,3074,754,147.45,111177.3
PRD0031,Nivea Cream,Tonk Branch,26,1561,1281,306,147.3,45073.8
PRD0031,Nivea Cream,Sawai Madhopur Branch,26,936,768,194,148.48,28805.12
PRD0032,Fair & Lovely Cream,Main Godown,239,3290,2724,805,58.43,47036.15
PRD0032,Fair & Lovely Cream,Tonk Branch,66,1371,1135,302,58.14,17558.28
PRD0032,Fair & Lovely Cream,Sawai Madhopur Branch,40,822,681,181,58.29,10550.49
PRD0033,Ponds Talcum Powder,Main Godown,149,3586,2965,770,94.42,72703.4
PRD0033,Ponds Talcum Powder,Tonk Branch,29,1494,1235,288,96.24,27717.12
PRD0033,Ponds Talcum Powder,Sawai Madhopur Branch,18,896,741,173,95.92,16594.16
PRD0034,Vim Dishwash Bar,Main Godown,125,4260,3594,791,18.23,14419.93
PRD0034,Vim Dishwash Bar,Tonk Branch,112,1775,1497,390,17.84,6957.6
PRD0034,Vim Dishwash Bar,Sawai Madhopur Branch,86,1065,898,253,18.24,4614.72
PRD0035,Pears Soap,Main Godown,90,3228,2680,638,37.72,24065.36
PRD0035,Pears Soap,Tonk Branch,21,1345,1117,249,38.06,9476.94
PRD0035,Pears Soap,Sawai Madhopur Branch,20,807,670,157,37.89,5948.73
PRD0036,Surf Excel Detergent,Main Godown,67,3355,2814,608,90.59,55078.72
PRD0036,Surf Excel Detergent,Tonk Branch,32,1398,1172,258,92.63,23898.54
PRD0036,Surf Excel Detergent,Sawai Madhopur Branch,28,838,703,163,91.54,14921.02
PRD0037,Ariel Detergent,Main Godown,137,3754,3101,790,96.67,76369.3
PRD0037,Ariel Detergent,Tonk Branch,119,1564,1292,391,95.97,37524.27
PRD0037,Ariel Detergent,Sawai Madhopur Branch,19,938,775,182,94.55,17208.1
PRD0038,Rin Detergent,Main Godown,171,2812,2362,621,37.67,23393.07
PRD0038,Rin Detergent,Tonk Branch,100,1172,984,288,37.68,10851.84
PRD0038,Rin Detergent,Sawai Madhopur Branch,23,703,590,136,37.94,5159.84
PRD0039,Wheel Detergent,Main Godown,92,3214,2662,644,55.63,35825.72
PRD0039,Wheel Detergent,Tonk Branch,38,1339,1109,268,55.57,14892.76
PRD0039,Wheel Detergent,Sawai Madhopur Branch,40,803,665,178,55.66,9907.48
PRD0040,Harpic Toilet Cleaner,Main Godown,232,2826,2372,686,80.26,55058.36
PRD0040,Harpic Toilet Cleaner,Tonk Branch,98,1177,988,287,81.45,23376.15
PRD0040,Harpic Toilet Cleaner,Sawai Madhopur Branch,41,706,593,154,81.28,12517.12
PRD0041,Lizol Floor Cleaner,Main Godown,22,3473,2880,615,72.14,44366.1
PRD0041,Lizol Floor Cleaner,Tonk Branch,6,1447,1200,253,71.6,18114.8
PRD0041,Lizol Floor Cleaner,Sawai Madhopur Branch,39,868,720,187,72.95,13641.65
PRD0042,Colin Glass Cleaner,Main Godown,100,3622,3000,722,64.8,46785.6
