invoice_no,date,customer_name,customer_area,product_name,category,company,size_variant,quantity,purchase_price,sale_price,discount_pct,salesperson,payment_status,payment_due_date
INV001001,2023-01-02,Umesh Store,Niwai,Saffola Gold Oil,Agricultural,Marico,5L,10,239.87,300.63,3.7,Vijay Sharma,Paid,
INV001002,2023-01-02,Girish Store,Deoli,Handkerchief Pack,Clothing Accessories,Local Brand,12 pcs,4,247.28,283.3,3.5,Vijay Sharma,Overdue,2023-02-01
INV001003,2023-01-02,Shiv Shakti Store,Tonk,Colgate Toothpaste,FMCG,Hindustan Unilever,200g,10,110.57,132.85,2.2,Manoj Yadav,Paid,
INV001004,2023-01-02,Rajendra General,Uniara,Saffola Gold Oil,Agricultural,Marico,1L,6,94.63,120.86,0.4,Deepak Meena,Pending,2023-02-01
INV001005,2023-01-02,Vinod Store,Niwai,Horlicks,Beverages,Hindustan Unilever,500g,16,200.65,249.94,0.7,Suresh Kumar,Paid,
INV001006,2023-01-02,Dilip Provisions,Uniara,Real Fruit Juice,Beverages,Dabur,1L,1,68.37,85.81,2.3,Deepak Meena,Paid,
INV001007,2023-01-02,Agarwal Provisions,Sawai Madhopur,Pepsodent Toothpaste,FMCG,Hindustan Unilever,300g,15,159.3,181.81,4.9,Manoj Yadav,Paid,
INV001008,2023-01-02,Rakesh General,Tonk,Rooh Afza,Beverages,Dabur,750ml,15,110.76,138.04,1.0,Manoj Yadav,Paid,
INV001009,2023-01-02,Ram Lal & Sons,Sawai Madhopur,Horlicks,Beverages,Hindustan Unilever,200g,13,128.04,160.84,2.9,Suresh Kumar,Overdue,2023-02-01
INV001010,2023-01-02,Sharma Kirana,Malpura,MDH Red Chilli Powder,Agricultural,MDH,500g,13,256.3,311.38,2.8,Vijay Sharma,Paid,
INV001011,2023-01-02,Vivek Store,Tonk,Rupa Underwear,Clothing Accessories,Local Brand,XL,16,118.25,134.2,4.5,Raju Patel,Pending,2023-02-01
INV001012,2023-01-03,Hitesh Provisions,Todaraisingh,Bourbon Biscuits,Snacks,Britannia,200g,8,78.64,96.96,3.1,Raju Patel,Paid,
INV001013,2023-01-03,Umesh Store,Niwai,Dettol Handwash,FMCG,Godrej Consumer,200ml,2,131.67,150.22,2.2,Raju Patel,Paid,
INV001014,2023-01-03,Patel Store,Sawai Madhopur,Britannia Biscuits,Snacks,Britannia,400g,11,147.36,184.98,0.9,Deepak Meena,Paid,
INV001015,2023-01-03,Dhruv Provisions,Tonk,Sunfeast Dark Fantasy,Snacks,ITC,75g,17,98.87,126.21,1.4,Manoj Yadav,Pending,2023-02-02
INV001016,2023-01-03,Hitesh Provisions,Todaraisingh,Britannia Biscuits,Snacks,Britannia,400g,11,147.36,182.37,2.3,Raju Patel,Paid,
INV001017,2023-01-03,Chintan Kirana,Tonk,Fortune Sunflower Oil,Agricultural,Local Brand,5L,13,142.39,161.21,4.0,Manoj Yadav,Paid,
INV001018,2023-01-03,Ramesh General Store,Tonk,Paperboat Drinks,Beverages,Local Brand,200ml,18,264.17,302.17,1.8,Suresh Kumar,Overdue,2023-02-02
INV001019,2023-01-03,Kiran Store,Deoli,Lizol Floor Cleaner,Household,Godrej Consumer,2L,12,22.14,27.7,1.2,Deepak Meena,Paid,
INV001020,2023-01-03,Shiv Shakti Store,Tonk,VIP Socks,Clothing Accessories,Local Brand,2 pairs,8,136.23,153.89,3.2,Suresh Kumar,Paid,
INV001021,2023-01-03,Naresh Provisions,Sawai Madhopur,Good Knight Mosquito Coil,Household,Godrej Consumer,20 pcs,4,88.86,107.46,4.7,Manoj Yadav,Paid,
INV001022,2023-01-03,Bharat Enterprises,Niwai,Dettol Handwash,FMCG,Godrej Consumer,200ml,8,131.67,152.52,0.7,Deepak Meena,Overdue,2023-02-02
INV001023,2023-01-03,Manoj Traders,Uniara,Anchor Switchboard,Electronics Accessories,Bajaj,4 switch,5,306.72,356.77,3.3,Deepak Meena,Pending,2023-02-02
INV001024,2023-01-03,Manoj Traders,Uniara,Tang Powder,Beverages,Hindustan Unilever,100g,2,146.76,185.33,1.1,Raju Patel,Paid,
INV001025,2023-01-03,Jignesh Store,Deoli,Hide & Seek,Snacks,Britannia,100g,4,23.94,29.46,1.8,Suresh Kumar,Overdue,2023-02-02
INV001026,2023-01-03,Meena Provisions,Uniara,Godrej Hit Cockroach Spray,Household,Godrej Consumer,200ml,9,85.55,106.86,0.6,Manoj Yadav,Pending,2023-02-02
INV001027,2023-01-03,Patel Store,Sawai Madhopur,Tata Salt,Agricultural,Tata Consumer,1kg,7,289.71,343.69,3.0,Suresh Kumar,Paid,
INV001028,2023-01-03,Rajesh Trading,Tonk,Clinic Plus Shampoo,Personal Care,Hindustan Unilever,175ml,19,221.22,293.9,4.1,Deepak Meena,Paid,
INV001029,2023-01-04,Nilesh Traders,Todaraisingh,Bournvita,Beverages,Hindustan Unilever,1kg,11,160.93,196.6,3.9,Suresh Kumar,Paid,
INV001030,2023-01-04,Jignesh Store,Deoli,Parachute Coconut Oil,Personal Care,Marico,500ml,5,159.28,208.58,4.0,Vijay Sharma,Paid,
INV001031,2023-01-04,Gupta Distributors,Niwai,Vim Dish Wash,FMCG,Hindustan Unilever,250ml,12,116.53,135.64,1.2,Raju Patel,Paid,
INV001032,2023-01-04,Sanjay Provisions,Niwai,Colgate Toothpaste,FMCG,Hindustan Unilever,100g,5,44.35,53.3,2.6,Manoj Yadav,Pending,2023-02-03
INV001033,2023-01-04,Santosh Store,Uniara,Hide & Seek,Snacks,Britannia,100g,17,23.94,29.31,2.3,Deepak Meena,Pending,2023-02-03
INV001034,2023-01-04,Bajaj Traders,Niwai,MDH Red Chilli Powder,Agricultural,MDH,500g,17,256.3,310.1,3.2,Manoj Yadav,Paid,
INV001035,2023-01-04,Jignesh Store,Deoli,Godrej Hit Cockroach Spray,Household,Godrej Consumer,400ml,14,181.81,224.55,2.5,Vijay Sharma,Overdue,2023-02-03
INV001036,2023-01-04,Parth Traders,Todaraisingh,Lux Soap,FMCG,Hindustan Unilever,150g,11,80.07,97.23,0.3,Deepak Meena,Paid,
INV001037,2023-01-04,Radhe Shyam Provisions,Deoli,Kurkure,Snacks,ITC,73g,13,104.48,130.14,2.7,Deepak Meena,Overdue,2023-02-03
INV001038,2023-01-04,Ravi Wholesale,Sawai Madhopur,Dettol Handwash,FMCG,Godrej Consumer,500ml,4,155.64,179.99,3.3,Raju Patel,Pending,2023-02-03
INV001039,2023-01-04,Ravi Wholesale,Sawai Madhopur,Tissue Box,Household,Local Brand,200 sheets,8,227.9,258.74,4.1,Vijay Sharma,Paid,
INV001040,2023-01-05,Ravi Wholesale,Sawai Madhopur,Haldiram Namkeen,Snacks,Haldiram,1kg,9,74.43,94.19,0.8,Vijay Sharma,Overdue,2023-02-04
INV001041,2023-01-05,Patel Store,Sawai Madhopur,Lifebuoy Soap,FMCG,Hindustan Unilever,75g,3,170.18,199.44,3.7,Raju Patel,Paid,
INV001042,2023-01-05,Radhe Shyam Provisions,Deoli,Colgate Toothpaste,FMCG,Hindustan Unilever,300g,19,162.25,189.1,2.8,Manoj Yadav,Overdue,2023-02-04
INV001043,2023-01-05,Ashok General,Tonk,Annapurna Atta,Agricultural,ITC,5kg,14,138.09,168.78,3.6,Deepak Meena,Overdue,2023-02-04
INV001044,2023-01-05,Krishna Traders,Malpura,Bourbon Biscuits,Snacks,Britannia,200g,4,78.64,98.96,1.1,Raju Patel,Paid,
